title	detail_url	thumbnail_url	caption
Upps ! (91)	https://eisenbahnstiftung.de/images/bildergalerie/118245.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118245_x.jpg	Am 16.02.1939 war die Darmstädter 18 538 in Olching bei München in einen Zusammenstoß mit einer E 04 verwickelt und stürzte um. Anschließend wurde sie zu Krauss-Maffei nach München gebracht (Foto) und dort wieder aufgearbeitet. (1939) <i>Foto: Werkfoto</i>
Größenvergleich (2)	https://eisenbahnstiftung.de/images/bildergalerie/118246.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118246_x.jpg	1941 lieferte Henschel mit der Fabriknummer 25.000 die voll verkleidete 19 1001 ab. Dabei wurde der bei elektrischen Lokomotiven bereits bewährte Einzelachsantrieb adaptiert und alle vier Treibachsen einzeln von je einem Dampfmotor angetrieben. Den bislang gebauten Dampflokomotiven waren technische Grenzen gesetzt. Erfahrungsgemäß galten für herkömmliche Dampflokomotivtriebwerke, bei denen die Kraftübertragung durch hin und her gehende Kolben und Treibstangen mit erheblicher Masse erfolgt, Drehzahlen bis 400 min-1, als praktikabel. Oberhalb dieser Drehzahlgrenze ergeben sich massive Probleme mit der Belastung der Treib- und Kuppelzapfen, der Schmierung der unter Dampf gehenden und dem Masseausgleich der hin- und hergehenden Teile. Auch einer Vergrößerung des Treibraddurchmessers zur Erhöhung der Fahrgeschwindigkeit bei gleichbleibender Triebwerksdrehzahl sind technische und konstruktive Grenzen gesetzt. Der größte ausgeführte Treibraddurchmesser lag bei 2300 Millimetern (BR 05 und 61). Bei noch größeren Radsätzen wäre, abgesehen von Stabilitäts- und Masseproblemen, ein entsprechend leistungsfähiger Kessel nicht mehr innerhalb der nutzbaren Fahrzeugumgrenzung unterzubringen. Eine Alternative zum herkömmlichen Dampflokomotivtriebwerk sah man nach dem Vorbild von zur selben Zeit entworfenen elektrischen Lokomotiven im Einzelachsantrieb mit schnelllaufenden Dampfmotoren. Das revolutionäre Antriebskonzept wurde wegen des Zweiten Weltkriegs nicht weiter verfolgt. Bei einigen Erprobungsfahrten im Rahmen von Bremsversuchen des RZA Berlin/Versuchsamt für Bremsen Berlin-Grunewald soll die Lok kurzzeitig eine Höchstgeschwindigkeit von 186 km/h erreicht haben. Die Fa. Henschel "bastelte" diese Collage, um auf die Einzigartigkeit der Lok aufmerksam zu machen. (1941) <i>Foto: Werkfoto</i>
39 002 in Dresden	https://eisenbahnstiftung.de/images/bildergalerie/118247.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118247_x.jpg	Die Dresdner 39 002 vor einem Schnellzug an einem verregneten Februartag des Jahres 1931 in Dresden Hbf. An der Straßenbahnhaltestelle "Hauptbahnhof/Wiener Platz" steht ein Triebwagen der Ringlinie 26.  (02.1931) <i>Foto: Werner Hubert</i>
58 2139 in Neuenmarkt-Wirsberg	https://eisenbahnstiftung.de/images/bildergalerie/118249.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118249_x.jpg	58 2139 (Bw Hof) in einer zeitgenössischen Postkarte im Bahnhof Neuenmarkt-Wirsberg. (1931) <i>Foto: Postkarte</i>
Feuerlöschübung	https://eisenbahnstiftung.de/images/bildergalerie/118251.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118251_x.jpg	Werkfeuerwehren sind heute spezialisiert auf die in ihrem Unternehmen zu erwartenden Einsätze, z.B. auf Flughäfen oder in chemischen Werken. Aufgrund der besonderen Gefahren bei der Eisenbahn gab es dort in Werken oder größeren Bahnhöfen auch eigene Feuerwehren. Bezüglich Aufbau, Ausbildung und Ausrüstung entsprachen sie den Erfordernissen der öffentlichen Feuerwehr. Durch das schnelle Handeln im Schadensfall versprach sich die Eisenbahn kürzere Ausfallzeiten im Betrieb und geringere Schäden. Auch konnte man sich umfangreiche Sperrungen von Gleisen ersparen, da die werkseigene Bahnfeuerwehr keine Einweisung in die Gefahren des Eisenbahnbetriebs benötigte, bevor sie das Gelände betreten durfte. Die Bahnfeuerwehren wurden mit der Bahnreform abgeschafft, da die Bekämpfung von Bränden und Aufgaben des Katastrophenschutzes hoheitliche Aufgaben des Bundes bzw. der Länder sind. Die Bahn sah daher keine Notwenigkeit, selbst noch Feuerwehren vorzuhalten. Das Bild zeigt eine Feuerlöschübung an einem ausgemusterten Wagen in Breslau Mitte der 1930er Jahre. (1936) <i>Foto: Rbd Breslau</i>
38 2366 bei Burgen	https://eisenbahnstiftung.de/images/bildergalerie/117838.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117838_x.jpg	Vermeintlich 38 2366 vom Bw Kirn soll hier mit dem Nachtschnellzug D 246 (Berlin – Koblenz ab 8.24 Uhr – Trier) vor der Burgruine Bischofstein zwischen Hatzenport und Moselkern bei Burgen unterwegs sein.  (21.08.1930) <i>Foto: DLA Darmstadt (Bellingrodt)</i>
VT 137 bei Wengern Ost	https://eisenbahnstiftung.de/images/bildergalerie/117846.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117846_x.jpg	Ein sechsteiliger VT137+VB147+VT137+VB147+VB147+VT137 überquert als Et 3453 (Dortmund – Köln) das Elbschetal-Viadukt der Bahnstrecke Witten (Ruhr)—Schwelm in Wengern Ost. 1934 wurde der Viadukt aus Ruhrsandstein gebaut. Vor dem Zweiten Weltkrieg fuhren täglich 23 Personenzüge, davon 5 Eilzüge über den Viadukt, hinzu kam noch Güterverkehr. Die Gleise wurden 1984 demontiert. Der Viadukt wurde aufwändig restauriert und ist heute Teil eines Radweges. (04.1936) <i>Foto: DLA Darmstadt (Bellingrodt)</i>
85 004	https://eisenbahnstiftung.de/images/bildergalerie/117665.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117665_x.jpg	Um die Höllentalbahn im Schwarzwald mit ihren Steigungen bis 57,14 ‰ vom Betrieb als Zahnradbahn auf reinen Reibungsbahnbetrieb umstellen zu können, bestellte die DR 1931 bei Henschel in Kassel zehn schwere Tenderlokomotiven, die unter den Betriebsnummern 85 001–010 in den Betriebsbestand eingereiht wurden. 85 004, hier in einer retuschierten Werkaufnahme, kam nach der Abnahmeuntersuchung im RAW Kassel ab 03.01.1933 beim Bw Villingen (Schwarzw) in Fahrt. Den Zweiten Weltkrieg überlebte sie nicht, ein Bombentreffer zwang Ende 1944 zur vorzeitigen Ausmusterung.  (12.1932) <i>Foto: Werkfoto</i>
Werbung (126)	https://eisenbahnstiftung.de/images/bildergalerie/117338.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117338_x.jpg	Die stromlinienverkleidete Baumusterlok 01 1001 in einer Werbeanzeige der BMAG in Wildau, vormals Louis Schwartzkopff, Berlin. (1940) <i>Foto: Werkfoto</i>
Ausstellung "Deutschland" (2)	https://eisenbahnstiftung.de/images/bildergalerie/117339.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117339_x.jpg	Die "Ausstellung Deutschland" war Teil des Rahmenprogramms zu den Olympischen Spielen 1936 in Berlin. Vom 18. Juli bis 16. August 1936 wurde in den Ausstellungshallen am Kaiserdamm nahe des Funkturms die Leistungsfähigkeit und die Spitzenprodukte der deutschen Industrie vorgeführt. Die Ausstellung war Teil einer umfassenden Propagandastrategie, die von Joseph Goebbels orchestriert wurde, um ein positives Bild des "Dritten Reiches" für internationale Besucher zu zeichnen. Ein Ausstellungsobjekt war dabei die für das Bw Wiesbaden bestimmte 03 256, die nach der Abnahme im RAW Braunschweig direkt zu der Schau gebracht wurde. (17.07.1936) <i>Foto: Werkfoto</i>
03 271	https://eisenbahnstiftung.de/images/bildergalerie/117340.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117340_x.jpg	Am 15. Januar 1937 lieferte die Berliner Maschinenbau-AG (vorm. L. Schwartzkopff) die 03 271 an die Deutsche Reichsbahn ab. Auf dem Hof der BMAG in Wildau bei Berlin wurde die Lok zuvor für das Firmenarchiv fotografiert. Die Abnahme erfolgte wie für die meisten 03 anschließend im RAW Braunschweig. Erstes Heimat-Bw wurde Wuppertal-Langerfeld. (01.1937) <i>Foto: Werkfoto</i>
38 3075 in Werdohl	https://eisenbahnstiftung.de/images/bildergalerie/117341.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117341_x.jpg	38 3075 vom Bw Hagen-Eckesey verlässt mit E 313 (Siegen – Wuppertal-Vohwinkel) den Bahnhof Werdohl auf der Ruhr-Sieg-Strecke. Unmittelbar hinter der Lennebrücke wird der Zug in den 222 m langen Ütterlingser Tunnel einfahren. Es sollte eines der letzen Bilder von Carl Bellingrodt vor dem Zweiten Weltkrieg werden. (19.08.1939) <i>Foto: RVM-Filmstelle Berlin (Bellingrodt)</i>
38 3513 in Mülheim/Ruhr	https://eisenbahnstiftung.de/images/bildergalerie/117343.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117343_x.jpg	38 3513 vom Bw Dortmund Süd mit P 472 (Soest ab 6.44 Uhr – Düsseldorf Hbf an 10.25 Uhr) auf dem Stadtviadukt über die Ruhr zwischen Mülheim-Eppinghofen und Mülheim (Ruhr)-Speldorf.  (05.08.1935) <i>Foto: DLA Darmstadt (Bellingrodt)</i>
44er Parade in Wildau	https://eisenbahnstiftung.de/images/bildergalerie/117344.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117344_x.jpg	Die zwischen dem 27. Oktober und 27. November 1939 bei der Berliner Maschinenbau-AG fertiggestellten 44 244, 245, 246, 247, 248 und 249 präsentieren sich auf dem Werksgelände in Wildau bei Berlin. (11.1939) <i>Foto: Werkfoto</i>
VT 137 241	https://eisenbahnstiftung.de/images/bildergalerie/117347.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117347_x.jpg	Der bei der Dessauer Waggonfabrik gebaute VT 137 241 mit VS 145 154 auf Werkprobefahrt. Im Februar 1937 wurde der Triebwagen bei der Rbd Regensburg in Dienst gestellt. Nach dem Krieg zeichnete ihn die DB in VT 36 500 um. Am 14.09.1965 wurde er beim Bw Wuppertal-Steinbeck ausgemustert. (12.1936) <i>Foto: Werkfoto</i>
Werbung (127)	https://eisenbahnstiftung.de/images/bildergalerie/117349.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117349_x.jpg	Werbeanzeige der in den späten 1930er Jahren gebauten Wehrmachtsdiesellok WR 360 C 14. Die Typenbezeichnung bezeichnet eine Lok für Regelspur mit 360 PS, Achsfolge C (drei gekuppelte Antriebsachsen) und einer Achslast von etwa 14 Tonnen. Entwickelt wurden die Loks von der Arbeitsgemeinschaft für Motorlokomotiven, die aus der Berliner Maschinenbau-AG (vormals Schwartzkopff) und Orenstein & Koppel bestand. Ihr Einsatzgebiet waren explosionsgefährdete Standorte der Wehrmacht (Raffinerien, Tanklager und Munitionsdepots), aber auch Häfen, Flugplätze und kriegswichtige Unternehmen, wo Dampflokomotiven mit ihren Dampf- und Rauchschwaden die Standorte verraten hätten.  (1939) <i>Foto: Werkfoto</i>
Werbung (128)	https://eisenbahnstiftung.de/images/bildergalerie/117350.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117350_x.jpg	Werbeanzeige für eine Kleinlok der BMAG. Die abgebildete Kb 4070 gehörte nach den 1930 von der Reichsbahn festgelegten Kriterien zu den Kleinloks der Leistungsgruppe II mit einer Motorleistung von 40 PS und mehr. Die Entwicklung dieser Fahrzeuge sollte die Abwicklung des Güterverkehrs wirtschaftlicher gestalten. Das Personal sollte die Bedienung der Kleinlok in Einmannbedienung erledigen können. Entsprechend wurden die Maschinen sparsam in Wartung und Unterhaltung entwickelt. Im Betrieb sollten sie ohne technisch geschultes Personal leicht bedienbar sein. Je nach Antriebsart wurden sie als Kö (Diesel), Kb (Benzol) oder Ks (Akku) bezeichnet. Ingesamt entstanden 1114 Exemplare. Kb 4070 wurde am 20.11.1933 an das Bw Parchim abgeliefert und am 26.03.1992 in Leipzig-Wahren ausgemustert. (1934) <i>Foto: Werkfoto</i>
