Excel-Zeile	Id	Gattung	Hersteller	Artikelnummer
276	P247	PwPosti-pr07	Fl	8870
277	P248	PwPosti-pr07	Fl	8870
278	P249	PwPosti-pr07	Fl	8870
279	P250	PwPosti-pr07	Fl	8870
280	P251	PwPosti-pr07	Fl	8870
281	P252	CD3itr-pr07	Fl	8871
282	P253	CD3itr-pr07	Fl	8871
283	P254	CD3itr-pr07	Fl	8871
284	P255	CD3itr-pr07	Fl	8871
285	P256	CD3itr-pr07	Fl	8871
286	P257	D3itr-pr08	Fl	8875
290	P260	Pw3-pr11	Fl	806804
302	P272	C3-pr11	Fl	807005
303	P273	C3-pr11	Fl	807006
304	P274	C3-pr11	Fl	807006
305	P275	C-pr21	Fl	807104
306	P276	C-pr21	Fl	807104
307	P277	C-pr21	Fl	807104
309	P278	Pwi-23	Tr	13745
310	P279	Pwi-23	Tr	11422.1
311	P280	Cd-21b	Tr	13744
312	P281	Cd-21b	Tr	11422.2
313	P282	BCd-21	Tr	11422.3
314	P283	BCd-21	Tr	13743
316	P284	Pwi-28	Fl	8660
317	P285	Bi-29	Fl	8661
318	P286	BCi-28	Fl	8663
319	P287	Ci-28	Fl	8872
320	P288	Ci-28	Fl	8872
321	P289	Ci-28	Fl	8872
322	P290	Ci-28	Fl	8872
323	P291	Ci-28	Fl	8872
324	P292	Ci-28	Fl	8662
325	P293	Cid-27	Fl	8659
