z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	II	DRG			Ohne	-	-	-	-	56^20-29	G8.2	L27	56 2264	Cassel	Göttingen	Fl	7900-1	7900	111	23.11.2023		neu	75	ebay	Grün. Im Set, Wagen mit je 15€ bewertet
	II	DRG		U73400	Ohne	x	-	-	-	56^20-29	G8.2	L28	56 2048	Mainz	Mainz-Bisch	Fl	7156		111	05.09.2018		gebr	100	1zu160	Brünierte Räder
x	II	DRG			Ohne	-	-	-	-	56^20-29	G8.2	L29	56 2048	Mainz	Mainz-Bisch	Fl	7156		111	1993		neu	117,085840793934	Pietsch	Zerlegt
	I	KPEV			NEM651	-	-	-	-		G10	L104	5446			Tr	12248		119	22.11.2024		gebr	145	1zu160	Ohne Kolbenschutzrohre
x	III	DRG		N025	NEM651	-	x	-	-	57^10-37	G10	L105	57 2801	Schwerin	Güstrow	Tr	12247		119	16.12.2018		gebr	145,99	ebay	
	I	KPEV			NEM651	-	x	-	-		G12	L106	5593	Erfurt		Tr	12608		114	06.10.2023		gebr	132,49	ebay	
	II	DRG		Gold mini	NEM651	x	x	-	-	58^10-21	G12	L30	58 1437	Dresden		Tr	12716		114	24.03.2023		gebr	151	ebay	
	II	DRG			Ohne	-	-	-	-	61		L31	61 001			Ar	0166.0	0166	124	15.06.2002		gebr	70	MBFm	Im Set, mit 70€ bewertet
	II	DRG		DCX76	Ohne	-	-	-	-	62		L32	62 010	Erfurt	Meiningen	Fl	7053		107	17.12.2005		neu	149	ebay	
	II	DRG		DCX75	Ohne	-	-	-	-	64		L33	64 365	Frankfurt	Frankfurt	Fl	7063		78	07.04.2000		neu	94,5634334272406	SMDV	
	IV	DR			Ohne	-	-	-	-	65^10		L107	65 1049-9	Magdeburg	Güsten	Br	1610		110	15.11.2025		gebr	125,19	ebay	-20€ ebay Plus, das extra bezahlt. Am Jahresende prüfen, ob Vorteile den Preis aufgewogen haben
x	I	KBayStsB		MX617	Löt	x	-	-	-		Pt2/3	L108	6050			Fl	707085		58	17.07.2024		neuw	151,49	ebay	
	II	DRG		DCX76z	Löt	-	-	-	-	70	Pt2/3	L34	70 066	München	Rosenheim	Fl	7071		58	28.10.2014		neuw	118	ebay	
	II	DRG			Ohne	-	-	-	-	74^4-13	T121	L35	74 1230	Berlin	Wustermark	Ar	2284		74	31.12.1996		neu	85,6413901003666	Spitzner	
	II	DRG			Ohne	-	-	-	-	75^10-11	Vic	L36	75 1109	Karlsruhe	Waldheim?	Ar	0155	0155	79	12.10.2021		gebr	70	1zu160	
x	I	KPEV			Ohne	-	-	-	-		T18	L109	8957	Essen		Fl	7820	7890	93	03.05.2022		neuw	75,998	ebay	Mittelgrün. Im Set, Wagen mit je 15€ bewertet
	I	KPEV			Ohne	-	-	-	-		T18	L110	8428	Stettin		Fl	867913		93	14.12.2023		neuw	101,89	Catawiki	Dunkelgrün. Im Set, Wagen mit je 28€ bewertet
	II	DRG			Ohne	-	-	-	-	78^0-5	T18	L37	78 017	Mainz	Alzey	Fl	7079		93	14.04.1999		gebr	76,6937821794328	MBW	
	II	DRG			Ohne	-	-	-	-	78^0-5	T18	L38	78 017	Mainz	Alzey	Fl	7887	7887	93	14.04.1999		gebr	60	ebay	Im RSV-Set
	II	DRG			Ohne	-	-	-	-	80^0		L39	80 018	Köln	Köln Bbf	Fl	7027		60	04.09.2017		gebr	53,8	ebay	mit N025, ausgelötet, da wohl Motorproblem
	II	DRG			Ohne	-	-	-	-	81^0		L40	81 001	Magdeburg	Vienenburg	Fl	7035		69	27.09.2025	¨	gebr	45	ebay	
	II	DRG			?	-	-	-	-	85		L41	85 001	Karlsruhe	Freiburg	Tr	11455.0	11455	102	01.10.2019		neuw	83,575	ebay	Im Schwarzwald-Set mit Figuren, Wagen mit je 20€ bewertet
