z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	IV	DR		N025	NEM651	-	-	-	-	250		L161	250 001-5	Halle	Halle P	HN	2283		123	06.05.2017		neu	84	ebay	
	IV	DR		N025	NEM651	-	-	-	-	250		L162	250 226-8	Erfurt	Erfurt	HN	2373		123	19.05.2020		neu	109	dm-Toys	
	IV	DR		N025	NEM651	-	-	-	-	251		L163	251 010-5	Magdeburg	Blankenburg	HN	2285		117	03.02.2017		neu	109,95	ds-automodelle	
	IV	DR			NEM651	-	-	-	-	212		L164	212 001-2	LEW	LEW	HN	2076		114	02.09.2026		neuw	113,19	1zu160	SoMo Sebnitz 500 Stück; mit Kurzkupplung
	IV	DR		?	NEM651	x	-	-	-	243		L165	243 599-8			HN	2032		104	17.09.2017		gebr	65	1zu160	
x	V	DB			Ohne	-	-	-	-	143		L166	143 573-4	Erfurt	Erfurt	Ro	23276		104	ca. 1999		gebr	49,5953124760332	MBFm	
	II	DRG		DCX76	Löt	-	-	-	-	E75		L76	E 75 06			Tr	12537		96	07.08.2021		gebr	86,9	ebay	
	II	DRG			Löt	-	-	-	-	E77		L77	E 77 28	München	München	Br	63003		102	28.04.2023		neuw	145,5	1zu160	
x	III	DR			Löt	-	-	-	-	E77		L167	E 77 10			Br	1250		102	11.08.2021		neu	122,56	ebay	
	II	DRG		Hat einen, welcher?	Next18	-	-	-	-	E91		L78	E 91 102			Pi	40544		104	07.11.2024		neuw	185,99	ebay	
	II	DRG			NEM651	-	-	-	-	E93		L79	E 93 01	Stuttgart	Kornwestheim	Tr	12752		111	30.10.2018		gebr	84,495	ebay	mit Profikupplungen und Trix-Decoder!
	II	DRG		ESU 54687	NEM651	x	-	-	-	E94		L80	E 94 058	Erfurt	Probstzella	Fl	739401		116	05.01.2023		neuw	126,3	ebay	
x	III	DR			NEM651	-	-	-	-	E94		L168	E 94 069	Halle	Halle P	Fl	739403		116	26.01.2020		gebr	80	ebay	leichte Fehler (Kratzer, Laternen angeklebt)
	IV	DR		MX622N 	NEM651	x	-	-	-	E94		L169	254 110-0			Fl	739410		116	25.06.2025		neuw	102,19	ebay	
	III	DR			Ohne	-	-	-	-	E95		L170	E 95 02			Br	1210		132	16.02.2022		gebr	104,8	ebay	mit Profikupplungen
;Elektr. Triebwagen
	II	DRG	65	DCX75	Ohne	-	x	-	-		C4esT-29
BC4esS-29	L81	C4esT-29 + BC4esS-29			RR	5525001		220	18.06.1995		neu	117,085840793934	TöffTöff	In spw-n-Datenbank keine Details, Gattung geraten anhand 0189, wo die Details in der DB drin sind. Prüfen ...
	II	DRG	66	DCX76	Ohne	-	x	-	-		C4esT-29
BC4esS-29	L82	C4esT-29 + BC4esS-29			RR	5525001		220	2005		gebr	110	ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-		C4esT-29
BC4es-29	L83	C4esT-29 + BC4es-29			Ar	0189		220	18.06.1995		neu	65,9566526743122	TöffTöff	C4esT-29 3662 und BC4es-29 6121
	II	DRG		Ohne Motor	Ohne	-	-	-	-		C4esT-29
BC4es-29	L84	C4esT-29 + BC4es-29			Ar	0189		220	16.11.2008		neuw	99,99	ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-		BC4 ET
C4 ET	L85	C4esT-29 + BC4es-29			RR	RR 5525001 + Ar 0189		220	03.11.2007		gebr	42,2	ebay	RR/Arnold gemischt
	II	DRG		Ohne Motor	Ohne	-	-	-	-		C4esT-29
BC4esS-29	L86	C4esT-29 + BC4esS-29			RR	5525001		220	09.10.2007		gebr	65	ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-		C4esT-29
BC4esS-29	L87	C4esT-29 + BC4esS-29			RR	5525001		220	16.11.2008		gebr	93	ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-		C4esT-29
BC4esS-29	L88	C4esT-29 + BC4esS-29			RR	5525001		220	16.11.2008		gebr	93	ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-	ET85		L89	elT 1130			Ro	23001		256	02.04.2020		gebr	48,19	ebay	
	II	DRG			Ohne	-	-	-	-	ET25		L90	 elT 1130			Ka	10709		273	30.03.2014		neuw	73,99	ebay	
x	VI	DB		DCX75	Ohne	-	-	-	-	ET425		L171	.			Ka	10703		297	29.05.2013		neu	124,99	Lippe	"Generation Zugkunft"
x	VI	DB		N045	Ohne	-	-	-	-	ET425		L172	.			Ka	10707		297	01.06.2013		neu	121,9	Lippe	"Mittelhessen"
	I	KPEV			Ohne	-	-	-	-		AT3	L173	435/436			HT	15771		161	16.12.2021		neuw	97,79	ebay	
	II	DRG			Ohne	-	-	-	-	AT3		L91	AT3 375+376			Ro	23012		162			neu		Laden?	
	II	DRG		DCX76	Ohne	x	-	-	-	AT3		L92	AT3 295+296			HT	15772		161	07.11.2021		gebr	76	ebay	Zuglauf Mülheim-Styrum - Kettwig
	II	DRG		N045	Ohne	x	-	-	-	AT3		L93	AT3 405+406	Mainz		Ro	23390		162	27.11.2021		defekt	54,14	ebay	Feder (+6,48€/2) fehlt (ET-Nr. Roco 86208 = H0 Zugfeder für Kupplungsdeichsel)
;Sonstiges
;-
;VI
