z	Ep	BV	Gattung	Id	Gattungsbezi	Wagennummer	OVP	Herst	Art.-Nr.	Set	KK	LüP	Datum	KP	Quelle	Anmerkung
;Güterzugbegleitwagen
	II	DRG	OOt	G236	Oldenburg	738		Br	1801		X	63	20.03.2012	17,27	Amazon	
	II	DRG	OOt	G237	Oldenburg	832		Br	1801		X	63	20.03.2012	17,27	Amazon	
	II	DRG	OOt	G238	Oldenburg	734		Br	1801		X	63	07.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G239	Oldenburg	738		Br	1801		X	63	07.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G240	Oldenburg	832		Br	1801		X	63	07.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G241	Oldenburg	734		Br	1801		X	63	09.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G242	Oldenburg	738		Br	1801		X	63	09.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G243	Oldenburg	832		Br	1801		X	63	09.10.2012	16,4733333333333	ebay	
	II	DRG	OOt	G244	Oldenburg	734		Br	1801		X	63				
	II	DRG	OOt	G245	Oldenburg	738		Br	1801		X	63				
	II	DRG	OOt	G246	Oldenburg	832		Br	1801		X	63				
	II	DRG	Otm	G247	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G248	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G249	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G250	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G251	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G252	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G253	Regensburg	701 927		Fl	8228			43	13.07.2022	6,48285714285714	ebay	Schotterwagen
	II	DRG	Otm	G254	Regensburg	701 927		Fl	8228			43				Schotterwagen
	II	DRG	KKt	G255	Oldenburg	4046		Fl	839601		X	79	18.06.2012	10,79	MSL	Getreidesilowagen 4achs.
	II	DRG	KKt	G256	Oldenburg	4048		Fl	858396-1		X	79	20.01.2018	18,6625	ebay	Getreidesilowagen 4achs.
	II	DRG	KKt	G257	Oldenburg	4050		Fl	858396-2		X	79	20.01.2018	18,6625	ebay	Getreidesilowagen 4achs.
;Niederbord-, Flach-, Rungenwagen
	II	DRG	SS	G258	Köln	8366		Tr	13263		X	106	16.07.2013	20,91	ebay W. Leitz	mit Plane. Wo ist der zweite Kölner?
	I	KPEV	Sml	G259	Essen	17 309		Fl	780901		X	90	20.04.2023	25	ebay	Set 780901, mit Leiterwagen, mit 25€ bewertet
	I	KPEV	Sml	G260	Cöln	21 416	O	Fl	823603	823603	X	90	29.11.2015	16	1zu160	Set, Wagen 1
	I	KPEV	Sml	G261	Essen	17 307	O	Fl	823603		X	90	29.11.2015	16	1zu160	Set, Wagen 2
	I	KPEV	SSm	G262	Hannover	37 095		Fl 	8832		X	83	31.05.2022	18	ebay	Aus Set 7893, mit 18€ bewertet
	I	KPEV	SSm	G263	Hannover	37 095		Fl 	8832		X	83	03.12.2023	9,098	ebay	Aus Set 7893, T16 verkauft
	I	KPEV	SSm	G264	Hannover	37 095		Fl 	8832		X	83	03.05.2024	7,38	ebay	Aus Set 7893, T16 verkauft (mit 70€ angenommen)
	I	KPEV	SSm	G265	Hannover	37 095		Fl 	8832		X	83	24.10.2024	8	ebay	Aus Set 7893, T16 zu verkaufen (jeder Wagen mit 10€ - Profikupplung angenommen)
	II	DRG	SSk	G266	Köln	916		Fl	8285		X	83	09.11.2018	15,499	1zu160	
x	II	DRG	X	G267	Erfurt			Ar	wie 4532			56		5,11291881196219	MBF Markel	
	II	DRG	Xf	G268	Erfurt	44 738		Tr	13614		X	63	10.02.2020	3,94541125541126	ebay u.w.e.	Ladung Kessel
	II	DRG	Xw	G269	Erfurt	6162		Tr	13451		X	58			SMDV	Rungenwagen
	II	SBB	SS	G270		566 001		Tr	15122-3		X	58	20.01.2018	17,6525	ebay Nann	Gotthardset (SBB) - abgebr. Trittstufe liegt in OVP
	I	KBayStB	H	G271		9545		Tr	15005		X	58	06.07.2023	15,18	ebay	Set 15005, Rungen
	II	DRG	Xw	G272	Erfurt	64 354		Tr			X	58	10.11.2017	19,95	ebay	aus Jahrhundertset 2001, beladen mit Metall-Lieferwagen
	II	DRG	H	G273	Regensburg	19 864/20 275		Fl	8223-1		X	130	17.03.2019	16,3	1zu160	
	II	DRG	H	G274	Regensburg	19 864/20 275		Fl	8223-1		X	130	17.03.2019	16,3	1zu160	
	I	KPEV	Hrmmz	G275	Magdeburg/
Stettin	101 105/45 051		Fl	8814			130	22.04.2022	7,398	ebay	aus Set 7891, 55er für 93€ verkauft
	II	DRG	SSyms	G276	Köln	14 402		Tr	15109		X	83	29.05.2017	27,6	1zu160 S. Ara	Schwerlastwagen mit Kaelble Zugmaschine
	II	DRG	SSym	G277		14 519		Tr	15040		X	85	13.01.2019	18,8166666666667	1zu160 B. Heidorn	Schwerlastwagen mit Plane und Rungen, Profikupplung -1€, drei im Set
	II	DRG	SSym	G278		14 489		Tr	15040		X	85	13.01.2019	18,8166666666667	1zu160 B. Heidorn	Schwerlastwagen mit Plane und Rungen, Profikupplung -1€, drei im Set
	II	DRG	SSym	G279		14 552		Tr	15040		X	85	13.01.2019	18,8166666666667	1zu160 B. Heidorn	Schwerlastwagen mit Plane und Rungen, Profikupplung -1€, drei im Set
;Kesselwagen
	I	K.Bay.St.B		G280				Tr	15464		X		26.04.2025	32,475	bw bahn	Spirituswagen aus Set; einen und OVP für 45€ an G. Pereira verkauft
	I	K.Bay.St.B		G281				Tr	15464		X		26.04.2025	32,475	bw bahn	Spirituswagen aus Set; einen und OVP für 45€ an G. Pereira verkauft
	I	DRG	P	G282	Halle	502 578		Fl	781210		X	55	26.07.2022	15	dm-toys	Ammoniakwerk Merseburg, aus Set 781210, mit 15€ bewertet
	II	DRG	P	G283	Hannover	564 691		Fl	8430		X	55			?	Mobiloel
	II	DRG	P	G284	Halle	559 897		Fl	8420		X	55	14.12.2001	10,2258376239244	Börse Ullst	Leuna
	I	DRG	P	G285	Erfurt	502 231		Fl	8847		X	55	29.12.2011	20	MBF Markel	Mineraloel
	I	KPEV	P	G286	Cöln	502 196		Fl	7902-6		X	55	05.01.2022	18	ebay	
	I	KPEV	P	G287	Lübeck	502 284		Fl	7898-6		X	55	12.12.2022	18	ebay	
	I	KPEV	P	G288	Cöln	503 225 [P]		Fl	8813		X	55	22.04.2022	7,398	ebay	aus Set 7891, 55er für 93€ verkauft
	I	KPEV	P	G289	Elberfeld	502 301		Fl	881012-4	881012	X	55	19.11.2025	12,0225	ebay	blau, Aufschrift "Ernst Chur Chemische Fabrik Dellbrück"
	II	DRG	P	G290	Essen	501 463		Fl	7900-4		X	57	23.11.2023	15	ebay	Set 7900, Profikupplungen, jeder Wagen mit 15€ bewertet
	II	DRG	P	G291	Stettin	581 092		Fl	8436		X	55	22.12.2012	6,325	ebay	Rückforth
	II	DRG	P	G292	Essen	502 856		Fl	8846		X	55	22.12.2012	6,325	ebay	Dapolin
x	II	DRG	P	G293	Hannover	900 399		Ar	4526			56	22.12.2012	6,325	ebay	grau
	II	DRG	P	G294	Stettin	581 829		Fl	844201		x	55	15.11.2020	12,705	ebay	Union. Kleinerer Kessel als sonst
	II	DRG	P	G295	Stettin	581 829		Fl	844201		x	55	15.11.2020	12,705	ebay	Union. Kleinerer Kessel als sonst
	II	DRG	P	G296	Essen	501 482		Br	1940		X	65,5	18.11.2017	16,63	ebay	Bauart Krupp, für Teer, ab 1922
	II	DRG	P	G297	Essen	501 483		Br	1940		X	65,5	18.11.2017	16,63	ebay	Bauart Krupp, für Teer, ab 1922
	II	DRG	P	G298	Essen	501 484		Br	1940		X	65,5	18.11.2017	16,63	ebay	Bauart Krupp, für Teer, ab 1922
	II	DRG	P	G299	Köln	540 562		Li	265495		X	61	15.12.2017	20,9866666666667	Modellbahn-Licht	Dujardin
	II	DRG	P	G300	München	518 322		Li	265480		X	61	10.01.2018	24,9	MSL	Shell
	II	DRG	P	G301	Dresden	550 993		Li	265490		X	61	15.12.2017	22,9866666666667	Modellbahn-Licht	schwarz
	II	DRG	P	G302	Dresden	550 993		Li	265490		X	61	15.12.2017	22,9866666666667	Modellbahn-Licht	schwarz
	II	SBB	P	G303		534 215		Tr	15122-2		X	55	20.01.2018	17,6525	ebay Nann	Gotthardset (SBB)
	II	DRG	P	G304	München	518 131		Tr	11631		X	55	10.11.2019	16,6666666666667	ebay	"MAN", Set 11631 mit BR 92
;Kühlwagen
	II	DRG	P	G305	Dresden	555 137		Fl	8307		X	80	21.06.2005		SMDV	Fischtransport Karpfen
	II	DRG	P	G306	München	513 716		Ar	4128		X	60			SMDV	Bierwagen Leistbräu
	II	DRG	P	G307	Berlin	2870		HN	6013		X	60	30.09.2017	11,8166666666667	1zu160 Günther	Bierkühlwagen, Sondermodell MBS Sebnitz
	II	DRG	P	G308	Berlin	600 215		Tr	13643			53	28.12.2004	13,6	MBF Nbg	Meierei Bolle
	I	KPEV	P	G309	Cöln	600 248		Fl	881012-1	881012	X	57	19.11.2025	12,0225	ebay	weiß, Aufschrift "Margarine-Fabrik Wahnschaffe Cleve"
	II	DRG	P	G310	Münster	579 031		Fl	8349		X	57	02.10.2016	14	M+H Leipzig	Kühlwagen Homann
	II	DRG	Gkwh	G311	Berlin	398		Fl	8381		X	68	17.12.2005	21	SpMax	Kühlwagen Seefische
	I	DRG	P	G312	Münster	600 017		Fl	880903-4		X	68	28.08.2025	18,2975	ebay	Set 880903 mit 2 KK, "Germania-Bier"
	I	DRG	P	G313	Münster	600 017		Fl	880903-4		X	68	05.04.2019	16,5475	ebay	Set 880903 mit 2 KK, "Germania-Bier"
	I	KPEV	P	G314	Essen	600 169		Fl	8833		X	61	31.05.2022	12	ebay	Union-Brauerei Dortmund. Aus Set 7893, mit 12€ bewertet
	I	KPEV	P	G315	Essen	600 169		Fl	8833		X	61	03.12.2023	9,098	ebay	Union-Brauerei Dortmund. Aus Set 7893, T16 verkauft
	I	KPEV	P	G316	Essen	600 169		Fl	8833		X	61	03.05.2024	7,98	ebay	Union-Brauerei Dortmund. Aus Set 7893, T16 verkauft (mit 70€ angenommen)
	I	KPEV	P	G317	Essen	600 169		Fl	8833		X	61	24.10.2024	8	ebay	Union-Brauerei Dortmund. Aus Set 7893, T16 zu verkaufen (jeder Wagen mit 10€ - Profikupplung angenommen)
	II	DRG	Gkh	G318	Berlin	523		Fl	8341		X	57	21.04.2007	15,9	Saxonia Ch.	Kühlwagen Seefische
	II	DRG	Gkh	G319	Berlin	523		Fl	8341		X	57	10.12.2007	8,63	ebay	Kühlwagen Seefische
	II	DRG	P	G320	Oldenburg	589 041		Tr	13483		X	55	12.01.2014	10,5	ebay	Seefische Nordsee
	II	DRG	P	G321	Frankfurt	556 080		Tr	13483		X	55	12.01.2014	10,5	ebay	Kaiser Friedrich Mineralquelle
	II	DRG	Ghk	G322	Berlin	1678		Fl	8346		X	62	22.12.2012	6,325	ebay	Kühlwagen
	II	DRG	Ghk	G323	Berlin	1678		Fl	8346		X	62	03.06.2012	11,19	ebay	Kühlwagen
	I	KPEV	P	G324	Berlin	600 532		Tr	15060/1		X	55	18.10.2016	8,9825	ebay	ehem Patzenhofer, Actien-Brauerei-Gesellschaft (Berlin) Friedrichshöhe
	I	KPEV	P	G325	Berlin	600 532		Tr	15060/1		X	55	26.12.2021	13,25	ebay	ehem Patzenhofer, Actien-Brauerei-Gesellschaft (Berlin) Friedrichshöhe
	II	SBB	Pd	G326		533 216		Li	265115		X	56	20.01.2018	22,2375	ebay Nann	Kühlwagen SBB
	II	DRG	P	G327	Berlin	530 255		Li	265116		X	56	ca-Preis	27	Modellbahnshop Lippe	August Kratz Berlin
	II	SBB	P	G328		516 309		Tr	15122-1		X	55	20.01.2018	17,6525	ebay Nann	Gotthardset (SBB). Feldschlösschen Rheinfelden
	II	DRG	Gfkhs	G329	Saarbrücken	11 007		MU	56001		X	73	11.09.2018	18,05	ebay dm-toys	Fährbootkühlwagen
	II	DRG	Gfkhs	G330	Saarbrücken	11 008		MU	56002		X	73	11.09.2018	16,1	ebay dm-toys	Fährbootkühlwagen
	I	DRG	P	G331	Altona	600 707		Fl	8837		X	56	10.02.2020	20,3090476190476	ebay	Import westindischer Bananen
;Sonstige Wagen
	I	KPEV	P	G332	Essen	505 165		Fl	881012-1	881012	X	55	19.11.2025	12,0225	ebay	weiß, Aufschrift "Chem. Fabrik Goldberg Geramont"
	II	DRG	P	G333		537 082		Fl	8449		X	55	02.05.2008	15	SpMax	Gedeckter Gaskesselwagen (Chlor)
	II	DRG	P	G334	München	520 769		Fl	845701		X	51	13.01.2018	24,57	MSL	Weinkesselwagen
	II	SBB	P	G335		520 753		Fl	845703		X	51	13.01.2018	24,57	MSL	Weinkesselwagen
	II	DRG	P	G336	Mainz	502 324		Tr	13460		X	50	06.11.2018	30	1zu160	Weinfasswagen
	I	KPEV	P	G337	Köln	500 043		Fl	8831		X	55	31.05.2022	0	ebay	aus Set 7893, mit 20€ bewertet für andere Setteile, aber 20€ Rückerstattung wg. gebr. Haltenasen und Griffe
	I	KPEV	P	G338	Köln	500 043		Fl	8831		X	55	03.12.2023	9,098	ebay	aus Set 7893, T16 verkauft
	I	KPEV	P	G339	Köln	500 043		Fl	8831		X	55	03.05.2024	7,38	ebay	aus Set 7893, T16 verkauft (mit 70€ angenommen)
	I	KPEV	P	G340	Köln	500 043		Fl	8831		X	55	03.05.2024	8	ebay	Aus Set 7893, T16 zu verkaufen (jeder Wagen mit 10€ - Profikupplung angenommen)
	I	KPEV	P	G341	Halle	560 569		Fl	781210		X	55	24.10.2024	20	dm-toys	aus Set 781210, mit 20€ bewertet, Farbenfabrik Wolfen
	II	DRG	P	G342	München	518 324		Fl	8221		X	55				Säuretopfwagen
	II	DRG	P	G343	München	518 324		Fl	8221		X	55	03.12.2022	12,5	ebay	Säuretopfwagen
	II	DRG	P	G344				Tr			X	54	05.07.2021	24,04	ebay	Gaskesselwagen
	II	DRG	Ok	G345	Nürnberg	26 611		NME	201202		X	47,5	27.04.2019	26,985	Kramm	Kokskübelwagen, 2 Behälter
	II	DRG	Ok	G346	Nürnberg	26 669		NME	201203		X	47,5	27.04.2019	26,985	Kramm	Kokskübelwagen, 3 Behälter
;Ep III/IV DR und DB
	IV	DR	Gs	G347		40 50 943 9788-2		HN	6567.1		X	66	16.09.2025	18	1zu160 Sven Kreutzer	Bahndienstwagen (Gerätewagen)
	IV	DR	-	G348		40 50 944 4227-5		HN	6567.2		X	86	16.09.2025	18	1zu160 Sven Kreutzer	Bahndienstwagen Niederboard mit Schotter-/Sandladung
	IV	DB	Lbs.598	G349		21 80 411 7 882-1		Fl	8234		X	90	21.09.2015	10	1zu160	
	IV	DB	Eo	G350		52 80 514 5 724-3		Tr	15041-21		X	61	21.09.2015	10	1zu160 F. Möller	Offener Gw, mit Kohle
	IV	DB	Eo	G351		52 80 514 5 613-1		Tr	15041-21		X	61	21.09.2015	10	1zu160 F. Möller	Offener Gw, mit Kohle
	IV	DB	Es	G352		42 80 514 1 113.3		Fl	820531		X	61	29.09.2019	11,5771428571429	Spielemax	
	IV	DR	El-u	G353		21 50 510 3494-4		HN	6381-1		X	63	29.09.2019	13,0221428571429	Spielemax	
	IV	DR	El-u	G354		21 50 510 3492-8		HN	6381-2		X	63	29.09.2019	13,0221428571429	Spielemax	
	IV	DB	E 035	G355		01 80 505 6 612--6		Fl	820513		X	64	29.09.2019	14,8271428571429	Spielemax	
	IV	DR	E	G356				Fl	931892		X	64	19.12.2020	12,4925	ebay	Set 931892, ohne BR110
	IV	DB	Es 049	G357		47 35 480 5 517-6		Ar	4789		X	63	01.10.2019	6,575	1zu160 Flottwell	
	IV	DB	E 035	G358		01 80 508 5 385-4		Tr	13529		X	61	10.02.2020	3,94541125541126	ebay u.w.e.	Schrottladung (schwer!)
	IV	DB	E 035	G359		01 80 508 5 385-4		Tr	13529		X	61	10.02.2020	3,94541125541126	ebay u.w.e.	Holzladung (aufrecht)
	III	DB	Om 12	G360		715 248		Fl	8218		X	57	10.02.2020	3,94541125541126	ebay	Kohleladung
	III	DB	Omm 55	G361		884 262		Fl	9316		X	63	10.02.2020	3,94541125541126	ebay	Holzladung (aufrecht)
	III	DB	Omm 55	G362		884 262		Fl	9316		X	63	10.02.2020	3,94541125541126	ebay	Kohleladung
	III	DB	Omm 55	G363		884 262		Fl	9316		X	63	10.02.2020	3,94541125541126	ebay	Kohleladung
	III	DB	Omm 39	G364		885 008		Fl	8204		X	63	10.02.2020	3,94541125541126	ebay	Holzladung (aufrecht)
	IV	DB	E 035	G365		01 80 508 1 234-8		Tr	11416		X	61	10.02.2020	3,94541125541126	ebay u.w.e.	Holzladung (aufrecht)
?	?	?	?	G366	?	?		Fl	?			?	22.04.2022	7,398	ebay	(falsch) aus Set 7891, 55er für 93€ verkauft
x	IV	DB	Omm 46	G367		01 80 5085 383-9		Tr	3538			56	24.01.0224	6,9975	ebay	Beifang, ohne KKK
	IV	DR	Eaos	G368		31 50 594 9 373-6		HN	6082		X	86	19.11.2012	12,995	eBay	gealtert
	IV	DR	Eaos	G369		31 50 594 9 324-9		HN	6082		X	86	19.11.2012	12,995	eBay	gealtert
	IV	DR	Eaos	G370		11 80 534 1 713-5		HN	1004-2		X	86	27.10.2015	8	1zu160 R. Eger	Aus Startset HN1004
	IV	DR	Eaos	G371		11 80 534 2 986-6		HN	1004-3		X	86	27.10.2015	8	1zu160 R. Eger	Aus Startset HN1004
	IV	DR	Eas	G372		31 50 594 9 189-6		Fl	828347		X	86	29.09.2019	14,5838095238095	Speielmax	Rückerstattet, nicht ausgetauscht!
	IV	DR	Eas	G373		31 50 594 9 225-6		Fl	828347		X	86	29.09.2019	14,5838095238095	Speielmax	Rückerstattet, nicht ausgetauscht!
	IV	DR	Eas	G374		31 50 594 9 106-0		Fl	828347		X	86	29.09.2019	14,5838095238095	Speielmax	Rückerstattet, nicht ausgetauscht!
	IV	DR	Eal	G375		31 50 592 3460-1		HN	6277.1		X	86	10.03.2016	11,66	eBay	"Martin braucht Schrott"
	IV	DR	Eal	G376		31 50 592 3570-7		HN	6277.3		X	86	10.03.2016	11,66	eBay	"Martin braucht Schrott"
	IV	DR	Eal	G377		31 50 592 3610-1		HN	6277.2		X	86	10.03.2016	11,66	eBay	"Martin braucht Schrott"
	IV	DR	Kkkml	G378				Fl	931892		X	75	19.12.2020	12,4925	ebay	Set 931892, ohne BR110
	IV	DB	Kklmmp 514	G379		20 80 327 3 378-4		Tr	13588		X	63	10.02.2020	3,94541125541126	ebay u.w.e.	Ladung Schiffskurbelwelle
	III	DB	Rms 31	G380		#		Fl	8256		X	76	10.02.2020	3,94541125541126	ebay	Holzladung
	III	DB	Kmm 36	G381		350 002		Tr	13531-25		X	63	10.02.2020	5,15452380952381	ebay u.w.e.	mit Kuppelstange, aus Display
	III	DB	Kmm 36	G382		350 009		Tr	13531-31		X	63	10.02.2020	5,15452380952381	ebay u.w.e.	Aus Display
	IV	DR	OOt-u	G383		21 50 6771 850-6		HN	'6349-1		X	52	17.12.2017	20,075	ebay	neu
	IV	DR	OOt-u	G384		21 50 6771 852-2		HN	'6349-1		X	52	17.12.2017	20,075	ebay	neu
	IV	DR	OOt-u	G385		21 50 6771 854-8		HN	'6349-1		X	52	17.12.2017	20,075	ebay	neu
	IV	DR	OOhmtu	G386		31 50 677 1 828-0		HN	1630444		X	84	29.12.2020	22,3333333333333	ebay	neu
	IV	DR	OOhmtu	G387		31 50 677 1 979-1		HN	1630475		X	84	29.12.2020	22,3333333333333	ebay	neu
	IV	DR	OOhmtu	G388		31 50 677 2 201-9		HN	1630504		X	84	29.12.2020	22,3333333333333	ebay	neu
	IV	DR	Tadgs-y	G389		31 50 583 5020-0		HN	'6333-1		X	119	17.12.2017	20,075	ebay	neu, Getreide
	IV	DR	Tadgs-y	G390		31 50 583 5028-3		HN	'6333-2		X	119	17.12.2017	20,075	ebay	neu, Getreide
	IV	DR	Tadgs-y	G391		31 50 583 5033-3		HN	'6333-3		X	119	17.12.2017	20,075	ebay	neu, Getreide
	IV	DR	Tadgs-y	G392		31 50 583 5020-0		HN	'6333-1		X	119	30.07.2019	15	1zu160 F. Gomoll	ohne OVP, Getreide
	IV	DR	Tadgs-y	G393		31 50 583 5028-3		HN	'6333-2		X	119	30.07.2019	15	1zu160 F. Gomoll	ohne OVP, Getreide
	IV	DR	Tadgs-y	G394		31 50 583 5033-3		HN	'6333-3		X	119	30.07.2019	15	1zu160 F. Gomoll	ohne OVP, Getreide
	IV	DR	Facs	G395				HN	1639241		X	119	22.01.2021	15	1zu160 F. Gomoll	ohne OVP, Getreide
	IV	DB	Tds	G396		21 50 575 0 362-8		Fl	8513		X	58	09.12.2012	6,7	eBay	Selbstentladewagen
	IV	DB	Tds	G397		21 50 575 0 362-8		Fl	8513		X	58	09.12.2012	6,7	eBay	Selbstentladewagen
	IV	DR	Tds	G398		21 80 540 5 386-1		Fl	8510		X	58	15.10.2015	12,7	MBF Markel	Selbstentladewagen
	IV	DP	Post aa-c/12,5	G399		50 50 00-29 417-1		Tr	15312-2		X		04.01.2021	30	1zu160 Hans-Joachim Pescht	
	IV	DR	Gs	G400		21 50 120 5 405-8		Fl	8311		X	66	17.01.2013		eBay	Gedecter Gw
	IV	DR	Gbs252	G401		20 81 111 0 042-5		Fl	831508		X	88	21.09.2015	12,5	1zu160	
	IV	DR	Gbs1518	G402				Fl	931892		X	88	19.12.2020	12,4925	ebay	Set 931892, ohne BR110
	IV	DR	Gbs252	G403		20 81 111 0 042-5		Fl	831508		X	88	21.09.2015	12,5	1zu160	
	IV	DB	Gbs252	G404		01 80 151 2 166-8		Ro	25160		X	87	01.10.2019	6,575	1zu160 Flottwell	
	IV	DR	Glmms	G405		21 50 150 0 118-7		Fl	826210		X	88	13.02.2023	27,485	Härtle	
	IV	DR	Glmms	G406		21 50 150 0 076-7		Fl	826210		X	88	13.02.2023	27,485	Härtle	
	IV	DR	Gmms	G407		21 50 120 0066-1		HN	6521		X	66	15.03.2023	29,985	Härtle	
	IV	DR	Gmms	G408		21 50 120 0077-9		HN	6521		X	66	15.03.2023	29,985	Härtle	
	IV	DR	Gbqss-z	G409		21 50 174 2517-7		Fl	828614		X	88	21.02.2023	27,29	bw bahn	Expressgut, mit Bremserbühne
	IV	DB	Hbers358	G410		211 4 189-2		Li	260141-2		X	78	21.01.2021	24,5	1zu160 Pluschke	Verschlagwagen
	III	DB	Tkoh	G411		300 217		Fl	9392		X	56	18.10.2016	8,9825	ebay	Kühlwagen grau, Tonnendach, DB
	III	DB	Tmms	G412		56 93 31		Fl	968344		X	74	01.10.5019	6,575	1zu160	
	IV	DR	Icor	G413		17 50 807 8032-9		HN	'6309-1		X	73	29.09.2017	10,075	ebay	neu
	IV	DR	Icor	G414		17 50 807 8055-0		HN	'6309-2		X	73	29.09.2017	10,075	ebay	neu
	IV	DR	Icor	G415		17 50 807 8090-7		HN	'6309-3		X	73	29.09.2017	10,075	ebay	neu
	IV	DR	Icor	G416		17 50 807 8032-9		HN	'6309-1		X	73	04.10.2017	16,7416666666667	ebay	
	IV	DR	Icor	G417		17 50 807 8055-0		HN	'6309-2		X	73	04.10.2017	16,7416666666667	ebay	
	IV	DR	Icor	G418		17 50 807 8090-7		HN	6309-3		X	73	04.10.2017	16,7416666666667	ebay	
	IV	FS	Ibces	G419		11 83 083 0 682-8		Fl	8321		X	74	10.02.2020	3,59	ebay	
	IV	DB	Ichs	G420		43 80 082 4 112-9		Fl	8324		X	74	10.02.2020	3,59	ebay	
	III	DB	Tehs 50	G421		308 351		Fl	8344		X	74	10.02.2020	3,59	ebay	Seitenwände verhunzt mit Aufschrift
	IV	DR		G422				HN	6567.1	6567	X		22.01.2026	15,425	ebay	Bahndienstwagen grün (G)
	IV	DR		G423				HN	6567.1	6567	X		22.01.2026	15,425	ebay	Bahndienstwagen grün (Flachw. mit Kiesladung)
	IV	DR		G424				Fl	931892		X	55	19.12.2020	12,4925	ebay	Set 931892, ohne BR110
	IV	DB	Z	G425		23 80 765 0 887-4		Fl	8415		X	55	21.09.2015	10	1zu160	ÖMV
	IV	DB	Z	G426		23 80 735 6 013-4		Fl	8419		X	55	21.09.2015	10	1zu160	BfB
	III	DB		G427		586 962		Tr	15124		X			13	ebay	DEA, Clubmodell. Culemeyer darin mit 20€ bewertet
	IV	DR	Z	G428		21 50 730 0 826-4		HN	6313-1		X	55	04.01.2021	13,905	ebay	
	IV	DR	Z	G429		21 50 730 0 977-5		HN	6313-2		X	55	04.01.2021	13,905	ebay	
	IV	DR	Zas	G430		35 50 7858 514-8		HN	6337-1		X	86	17.12.2017	16,7416666666667	ebay	neu, Isolierkesselwagen
	IV	DR	Zas	G431		35 50 7858 520-3		HN	6337-2		X	86	17.12.2017	16,7416666666667	ebay	neu, Isolierkesselwagen
	IV	DR	Zas	G432		35 50 7858 543-5		HN	6337-3		X	86	17.12.2017	16,7416666666667	ebay	neu, Isolierkesselwagen
	III	DB	Za	G433		542 571		Tr	15137		X	78	01.10.2019	6,575	1zu160 Flottwell	
	IV	DB	Za	G434		21 80 005 1 291-1		Li	265984		X	78	26.01.2021	0	Alba	Prämie NBM 2021/2022
	III	DR	ZZ	G435		51-98-36		Tr	15100		x		05.07.2021	20,45	ebay	BUNA, blau
	IV	DB	Tcefs 845	G436		21 80 572 9 029-6		MU	66008		X	78	02.12.2022	18,99	ebay	Fährbootwagen
	IV	DB	Gs	G437				MU			X		11.11.2022	19,99	Stellwerk S	
	IV	DB	Pwghs	G438				MU	55013		X		01.12.2022	19,99	dm-toys	Güterzugbegleitwagen
	IV	DB	Omm 52	G439				MU	52007		X		01.12.2022	14,99	dm-toys	Rüben
	IV	DB	Gos	G440				Li			X		18.01.2023	23,33	dm-toys	
	IV	DB	Gos	G441				Li			X		18.01.2023	23,33	dm-toys	
	IV	DB	Gos	G442				Li			X		18.01.2023	23,33	dm-toys	
	IV	DR	Gos	G443				Li			X		18.01.2023	23,33	dm-toys	
	IV	DR	Gos	G444				Li			X		18.01.2023	23,33	dm-toys	
	IV	DR	Gos	G445				Li			X		18.01.2023	23,33	dm-toys	
	IV	DR	Gbs	G446		51 50 154 0257-5		Fl	5170001-2		X		09.12.2023	15	Ars Tecnica	aus Set
	IV	DB	Ks 446	G447				Fl	5170001-3		x		09.12.2023	15	Ars Tecnica	aus Set; Schwenkrungenwagen
	IV	DB	Zags	G448				Fl	5170001-4		x		09.12.2023	15	Ars Tecnica	aus Set; Wärmeschutzkesselwagen
	IV	DB	Gs 204	G449		01 80 120 4 302-2		Fl	8319		X	66	24.01.0224	6,9975	ebay	mit Schlussbeleuchtung
	IV	DR	Gs	G450		21 50 120 5405-8		Fl	8311		X	66	24.01.0224	6,9975	ebay	
	IV	DR	Gs	G451		21 50 120 5405-8		Fl	8311		X	66	24.01.0224	6,9975	ebay	
