z	Ep	BV	Gattung	Id	Gattungsbezi	Wagennummer	OVP	Herst	Art.-Nr.	Set	KK	LüP	Datum	KP	Quelle	Anmerkung
;Güterzugbegleitwagen
	II	DRG	Gvwh	G51	Stettin	35 448		Fl	8365		X	55	09.11.2018	12,499	1zu160 A. Großer	
	II	DRG	Gvwh	G52	Stettin	35 448		Fl	8365		X	55	25.08.2025	12	ebay	
	I	KPEV	Nml	G53	Altona	14 527		Fl	8887		X	68	04.01.2022	17,89	ebay	
	I	KPEV	Nml	G54	Altona	14527		Fl	8887		X	68	30.04.2024	20	ebay	
	I	KPEV	Nml	G55	Altona 	14527		Fl	8887		X	68	30.04.2024	20	ebay	
	I	KPEV	Nml	G56	Altona 	14527		Fl	8887		X	68	17.05.2024	14,3	ebay	
	I	DRG	Nwl	G57	Altona	14 520		Fl	781210	781210	X	68	26.07.2022	20	dm-toys	Mit 20€ bewertet
	I	DRG	Ghwps	G58	Altona	14 520		Fl	781210		X	68	03.09.2024	9,49666666666667	ebay	
	II	DRG	Ghwps	G59	Stettin	33856		Fl	8380		X	68			Spitzner	
	II	DRG	Ghwps	G60	Stettin	33856		Fl	8380		X	68	20.11.2015	15	Modell Süd 	
	II	DRG	Ghwps	G61	Stettin	33856		Fl	8380		X	68	02.10.2016	19	M+H Leipzig	 "Bahnhofswagen"
	II	DRG	Ghwps	G62	Stettin	33856		Fl	8380		X	68	30.10.2018	19,995	ebay	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G63	Stettin	33856		Fl	8380		X	68	09.11.2018	16,499	1zu160 A. Großer	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G64	Stettin	33856		Fl	8380		X	68	03.09.2024	7,49666666666667	ebay	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G65	Stettin	33856		Fl	8380		X	68	03.09.2024	7,49666666666667	ebay	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G66	Stettin	33856		Fl	8380		X	68	03.09.2024	7,49666666666667	ebay	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G67	Stettin	33856		Fl	8380		X	68	03.09.2024	7,49666666666667	ebay	 "Bahnhofswagen", mit Profikupplungen
	II	DRG	Ghwps	G68	Stettin	33856		Fl	8380		X	68	03.09.2024	7,49666666666667	ebay	 "Bahnhofswagen", mit Profikupplungen
	I	Meckl-Schwerin	P	G69		600 013		Fl	881012-2	881012	X	68	19.11.2025	12,0225	ebay	weiß, Aufschrift "Verins-Brauerei Mecklenburgischer Wirte" Lübz
	II	DRG	Gl	G70	Dresden	4040		Tr	13830		X	72	28.12.2005	14	MBF Nbg	
	II	DRG	Gln	G71	Dresden	4042		Tr	15681-6	15681	X	72	08.05.2019	25,9816666666667	ebay	Aus Set dreiachsige Schnellzugwagen
	I	KBayStB	Nml	G72	Nürnberg	47 772		Tr	13269			72	25.07.2023	16,5633333333333	ebay	Mit 2 Profikupplungen
	I	KBayStB		G73		86 561		Tr	13414			57	21.08.2023	15,6333333333333	ebay	Kolonialwarenwagen, einschließlich beiliegender 2 Fässer und zwei Kisten (Originallieferumfang)
	II	DRG	Gn	G74	Kassel	52 219		Fl	7900-2	7900	X	57	23.11.2023	15	ebay	Mit 15€ bewertet
	II	DRG	Gl	G75	Dresden	7214		Fl	8308		X	75		14,3161726734941	KaDeWe	
	II	DRG	Gl	G76	Dresden	7214		Fl	8308		X	75		5,675	ebay	
	II	DRG	Gl	G77	Dresden	7214		Fl	8308		X	75	22.12.2012	6,325	ebay	
	II	DRG	Gl	G78	Dresden	7214		Fl	8308		X	75	22.12.2012	6,325	ebay	
	II	DRG	Gl	G79	Dresden	7214		Fl	8308		X	75	21.01.2012	10,1	ebay	
	II	DRG	Gl	G80	Dresden	7214		Fl	8308		X	75	28.03.2019	10,6	1zu160	
	I	KPEV	Gml	G81	Erfurt	8155		Fl	7898-5		X	75	12.12.2021	18	ebay	
	II	DRG	Gr	G82	Kassel	80 125		Ar	4408			59	08.05.2003	5,675	ebay	
	II	DRG	Gr	G83	Kassel	80 125		Ar	4408			59	28.12.2004	6,8	MBF Nbg	
	II	DRG	Gr	G84	Kassel	80 325		Ar	4409			56	28.12.2004	5,1	MBF Nbg	
	II	DRG	GGvwehs	G85	Dresden	21 005		Fl	8394		X	74	02.01.2009	17	SpMax	Stallungswagen
	I	KBayStB	Gm	G86		43 596		Tr	15005	15005	X	60	06.07.2023	15,18	ebay	Set 15005
	I	KBayStB	Gm	G87		43846		Tr	15005	15005	X	60	06.07.2023	15,18	ebay	
	II	DRG	G	G88	Kassel	14 206		Tr	11631	11631	X	56	10.11.2019	11,6666666666667	ebay	
	II	DRG	G	G89	Kassel	45 897		Br	67432	67432	X	58	21.06.2017	20,95	elriwa	
	II	DRG	G	G90	München	8 927		Br	67432	67432	X	58	21.06.2017	20,95	elriwa	
	I	KPEV	Gm	G91	Essen	19 268		Br	67455		X	60	27.12.2021	24,9	MSL	
	I	KPEV	Gm	G92	Essen	19 268		Br	67455		X	60	13.11.2024	27,7028571428571	ebay	
	II	DRG	G	G93	Kassel	24 655		Br	67454		X	60	12.01.2020	21,1633333333333	ebay	
	II	FS	G	G94		2301		Tr	15122-4	15122	X	58	20.01.2018	17,6525	ebay Nann	
	II	SBB	K2	G95		31 117		Br	67850		X	52	12.01.2020	21,1633333333333	ebay	mit Federpuffern, schwer
	II	SBB	K3	G96				HT	24252		X	61	18.01.2022	31,4	dm-toys	
	II	DRG	Grhs	G97	Oppeln	5698		Ht	24203		X	60	04.03.2022	17,8333333333333	ebay	mit Federpuffern, schwer
	II	DRG	Grhs	G98	Oppeln	1555		Ht	24203		X	55	04.03.2022	17,8333333333333	ebay	mit Federpuffern, schwer
	II	DRG	Grhs	G99	Oppeln	17 646		Ht	24203		X	55	04.03.2022	17,8333333333333		
	II	DRG	Glmhs	G100	Leipzig	2204	X	Tr	15110		X	75	05.04.2025	16,78		
	II	DRG	Ggths	G101	Bromberg	10 020		Tr	13598		X	112	23.04.2020	14	Fabian Goll 1zu160	
	II	DRG	Ggths	G102	Bromberg	10 020		Tr	13598		X	112	23.04.2020	14	Fabian Goll 1zu160	
	I	KPEV	P	G103	Cöln	600 248		Fl	881012-1	881012	X	57	19.11.2025	12,0225	ebay	weiß, Aufschrift "Margarine-Fabrik Wahnschaffe Cleve"
	II	DRG	P	G104	Münster	579 031		Fl	8349		X	57	02.10.2016	14	M+H Leipzig	Kühlwagen Homann
;Offene Wagen
	I	KPEV	Omk[u]	G105	Kgl. Mil. E.	487		Fl	821201-3	821201		41	19.01.2022	10,89	ebay	mit Profikupplung, aus Set dreier mit Kohle beladener Wagen - Exemplar aber ohne Kohle
	I	KPEV	Omk[u]	G106	Magdeburg	54 713		Fl	8832	7883		41	13.11.2024	10,7028571428571	ebay	
	I	K. Sachs. St. Eb	Omk[u]	G107		46 882		Fl	8860	7888		41	13.11.2024	10,7028571428571	ebay	
	I	K. Sachs. St. Eb	Omk[u]	G108		46 137		Tr	15048-1	15048	x	41	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G109	Magdeburg	31 555		Tr	15048-2	15048	x	41	20.12.2024	9	1zu160 J. Horn	
	I	K. Sachs. St. Eb	Omk[u]	G110		46 882		Fl	8660	7886	x	41	11.03.2025	6,868	Kleinanzeigen	
	I	KPEV	Omk[u]	G111	Saarbrücken	36 348		Tr	15048-3	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G112	Saarbrücken	31 830		Tr	15048-4	15048	x	46	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G113	Magdeburg	51 770		Tr	15048-5	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G114	Saarbrücken	31 910		Tr	15048-6	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G115	Saarbrücken	34 326		Tr	15048-7	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	Oldenburg	Omk[u]	G116		6162		Tr	15048-8	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omk[u]	G117	Magdeburg	50 961		Tr	15048-9	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	Meckl-Schwerin	Omk[u]	G118		10 281		Tr	15048-10	15048	x	42	20.12.2024	9	1zu160 J. Horn	
	I	KPEV	Omnk	G119	Bromberg	86 970		Fl	8830	7893	X	55	31.05.2022	12	ebay	Mit 12€ bwertet
	I	KPEV	Omnk	G120	Bromberg	86 970		Fl	8830	7893	X	55	03.12.2023	9,098	ebay	
	I	KPEV	Omnk	G121	Bromberg	86 970		Fl	8830	7893	X	55	03.05.2024	7,38	ebay	
	I	KPEV	Omnk	G122	Bromberg	86 970		Fl	8830	7893	X	55	21.10.2024	8	ebay	Stirnwand mit Brsh war geklebt; tolerabel für den Preis
	I	KPEV	Omk	G123	Bromberg	86 970		Fl	8830	7898	X	55	10.02.2020	9,30904761904762	ebay	
	I	KPEV	Omk	G124	Bromberg	86 970		Fl	7898-4	7898	X	55	10.02.2020	9,30904761904762	ebay	
	I	KPEV	Omk	G125	Magdeburg	66 887		Fl	8812	7891		55	22.04.2022	7,398	ebay	
	I	Bad.St.B.	Omk	G126	Baden	50 381		Fl	8862	7886		57	11.03.2025	6,868	Kleinanzeigen	
	I	KPEV	Onmmku	G127	Kattowitz	32 292		Fl	7902-5		X	61	05.01.2022	18	ebay	
	I	KPEV	Onmmku	G128	Essen	334 045		Fl	8885		X	61	17.05.2024	8,3	ebay	
	I	KPEV	Onmmku	G129	Essen	349 781		Fl	8812	7891	X	57	22.04.2022	7,398	ebay	
	I	KBayStB	Omk	G130		57 601		Tr	15005	15005		58	06.07.2023	15,18	ebay	
	II	DRG	O	G131	Nürnberg	23 219		Tr	15046		X	42	15.02.2016	12,5	ebay	
	II	DRG	O	G132	Nürnberg	23 219		Tr	15046		X	42	11.01.2021	6,66666666666667	ebay mmxtra	mit Kohle
	II	DRG	O	G133	Nürnberg	23 219		Tr	15046		X	42	21.03.2021	13	ebay	
	II	DRG	O	G134	Schwerin	26 538		Fl	8208			41		6,1261058897403	MBF Markel	
	II	DRG	O	G135	Schwerin	26 538		Fl	8208			41		7,14712353803035	MBF Markel	mit Kohle
	II	DRG	O	G136	Schwerin	26 538		Fl	8208			41	11.01.2021	6,66666666666667	ebay	
	II	DRG	O	G137	Schwerin	25 231		Fl	8212			45	28.12.2004	8,5	MBF Nbg	mit 2 Fässern
	II	DRG	O	G138	Schwerin	25 231		Fl	8212			45	11.01.2021	8,5	ebay	mit Kohle
	II	DRG	O	G139	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G140	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G141	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G142	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G143	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G144	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G145	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G146	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G147	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G148	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G149	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G150	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G151	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G152	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G153	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G154	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G155	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G156	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G157	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G158	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G159	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G160	Schwerin	26 538		Fl	8208			41	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G161	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G162	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G163	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G164	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G165	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G166	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G167	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	O	G168	Schwerin	25 231		Fl	8212			45	11.09.2025	6,893	ebay	mit Kohle
	II	DRG	On	G169	Frankfiurt	60 113		Fl	7900-7		X	55	23.11.2023	15	ebay	Set 7900, Profikupplungen, jeder Wagen mit 15€ bewertet
	II	DRG	O10	G170	Halle	41 177		Fl	8209			55	22.12.2004	5	MBF Markel	
	II	DRG	O10	G171	Halle	41 177		Fl	8209			55	22.12.2004	5	MBF Markel	einseitig Drahtkupplung
	II	DRG	O10	G172	Halle	41 177		Fl	8209			55	18.10.2016	8,9825	ebay	
	II	DRG	Om	G173	Breslau	62 813		Fl	7900-5		X	57	23.11.2023	15	ebay	Set 7900, Profikupplungen, jeder Wagen mit 15€ bewertet
	II	DRG	Om	G174	Essen	26 055		Fl	8215		X	57	15.06.1905		SpMax	
	II	DRG	Om	G175	Essen	26 055		Fl	8215		X	57			MBF Markel	mit Kohle
	II	DRG	Om	G176	Essen	26 055		Fl	8215		X	57	30.06.2007	11	MBF Markel	
	II	DRG	Om	G177	Essen	26 055		Fl	8215		X	57	21.01.2012	8,05	ebay	
	II	DRG	Om	G178	Essen	26 055		Fl	8215		X	57	28.07.2013	9,795	ebay	
	II	DRG	Om	G179	Essen	26 055		Fl	8215		X	57	28.07.2013	9,795	ebay	
	II	DRG	Om	G180	Essen	26 055		Fl	8215		X	57	18.10.2016	10,77	ebay	
	II	DRG	Om	G181	Essen	26 055		Fl	8215		X	57	18.10.2016	8,9825	ebay	
	II	DRG	Om	G182	Essen	26 055		Fl	8215		X	57	18.10.2016	8,9825	ebay	
	II	DRG	Om	G183	Essen	26 055		Fl	8215		X	57	20.01.2018	10,7475	ebay	
	II	DRG	Om	G184	Essen	26 055		Fl	8215		X	57	09.11.2018	10,499	1zu160	
	II	DRG	Om	G185	Breslau	56 147		Fl	8216		X	61	18.10.2016	8,9825	ebay	
	II	DRG	Om	G186	Breslau	56 147		Fl	8216		X	61				mit Holz
	II	DRG	Om	G187	Breslau	56 147		Fl	8216		X	61	30.06.2007	12	MBF Markel	
	II	DRG	Om	G188	Breslau	56 147		Fl	8216		X	61	10.02.2020	10,3090476190476	ebay	
	II	DRG	Omk	G189	Württemberg	42 103		Ar	4538			59		5,11291881196219	MBF Pest	Bahnhofswagen
	II	DRG	O	G190	Würzburg	21 557		Tr	13699			54	28.12.2004	6,8	MBF Nbg	mit Schotter
;Klappdeckelwagen
	II	KPEV	Km	G191	Berlin	17 422		Tr	15060-1		X	45	18.10.2016	8,9825	ebay	
	I	KPEV	Km	G192	Berlin	17 422		Tr	15060-2		X	45	26.12.2021	12,8	ebay	
	I	K. Bay. St.B.		G193	Ludwigshafen	49 153		Fl	8864			45	11.03.2025	6,868	EKA	Aus Set 7886
	II	DRG	K	G194	Wuppertal	80 913		Fl	8210			55			KaDeWe	
	II	Kn	K	G195	Elberfeld	10 348		Fl	7900-6		X	45	23.11.2023	15	ebay	Set 7900, Profikupplungen, jeder Wagen mit 15€ bewertet
	II	DRG	K	G196	Wuppertal	7576		Fl	8213			41	10.02.2020	7,31380952380952	ebay	
	I	KPEV	Km	G197	Stettin	17 123		Fl	8834		X	41	13.11.2024	11,7028571428571	ebay	aus Set 7883 Landbote, "Spezialwagen Station Stettin Cgb."
	I	K. Sächs. St. Eb.	Km	G198		24 924		Tr	15162-4		X	41	13.11.2024	16,7028571428571	ebay	aus Set 15162 Sachsenfracht
	II	DRG	K	G199	Wuppertal	8944		Fl	8214			45	10.02.2020	7,31380952380952	ebay	
;Viehwagen
x	II	DRG	Ov	G200	Würzburg	5658		Tr	13211			58			Pietsch	
	I	KBayStB	Vomz	G201		65514		Tr	15005		X	60	06.07.2024	15,18	ebay	Set 15005
	II	DRG	Ov	G202	Frankfurt	6151		Tr	15042		X	58	25.01.2008	8,625	ebay	mit Kohlköpfen, Bild, Bremserwagen?
	II	DRG	Ov	G203	Frankfurt	6151		Tr	15042		X	58	25.01.2008	8,625	ebay	mit Kohlköpfen
	II	DRG	Ovw	G204	Würzburg	18 778		Fl	8260		X	53	14.03.2009	14,99	SpMax	
	II	DRG	Ovw	G205	Würzburg	18 778		Fl	8260		X	53	28.05.2025	12	ebay	
	I	KPEV	VO	G206	Königsberg	30 164		Fl	780901		X	57	20.04.2023	25	ebay	Aus Set 780901, mit Kühen, mit 25€ bewertet
	I	KPEV	VO	G207	Magdeburg	34 608		Fl	880903-2		X	57	05.04.2025	16,5475	ebay	Aus Set 880903, mit Pferden und 2x KK
	I	KPEV	VO	G208	Magdeburg	34 608		Fl	880903-2		X	57	25.08.2025	18,2975	ebay	Aus Set 880903, mit Pferden und 2x KK
	II	DRG	Ovw	G209	Würzburg	19 528		Fl	8261		X	57	25.01.2012	10,79	ebay	
	II	DRG	Ovw	G210	Würzburg	19 528		Fl	8261		X	57	09.04.2009	14	SpMax	
	II	DRG	Ovw	G211	Würzburg	19 528		Fl	8261		X	57	21.04.2007	17,25	Saxonia Ch.	
	I	DRG	Ven	G212	Stettin	18 831		Fl	781210		X	53	26.07.2022	15	dm-toys	Set 781210, mit 15€ bewertet
	I	DRG	Ven	G213	Hanover	18 637		Fl	880903-3		X	53	05.04.2025	16,5475	ebay	Set 880903  mit 2 KK, "Spezialwagen Station Celle mit Luftdruckleitung"
	I	DRG	Ven	G214	Hanover	18 637		Fl	880903-3		X	53	28.08.2025	18,2975	ebay	Set 880903  mit 2 KK, "Spezialwagen Station Celle mit Luftdruckleitung"
	II	DRG	Vwh	G215	Altona	508		Fl	8352		x	53	20.03.2008	11	SpMax	mit Geflügelabteil unter d. Boden
	II	DRG	Vwh	G216	Altona	508		Fl	8352		X	53	09.11.2018	12,499	1zu160	Mit Geflügelabteil
	I	KPEV	Ven	G217	Hannover	18 648		Fl	780901		X	53	20.04.2023	25	ebay	Set 780901, mit 25€ bewertet
	II	DRG	Vwh	G218	Altona	212		Fl	8361		X	53	20.11.2015	15	Modell Süd	mit Geflügelabteil unter d. Boden
	II	DRG	Vwh	G219	Altona	212		Fl	8361		X	55	13.04.2006	23,2	Pietsch	mit Geflügelabteil unter d. Boden
	II	DRG	Vwh	G220	Altona	212		Fl	8361		X	55	11.09.2018	13,499	1zu160	Mit Geflügelabteil
	II	DRG	Vw	G221	Altona	18 196		Fl	8364			57	18.10.2016	8,9825	ebay	der kurze ohne KKK, dazu auch ein G - wo ist der?
	II	DRG	V	G222	Altona	6205		Tr	13615			57	28.12.2004	6,8	MBF Nbg	
	I	KPEV	Venmz	G223	Stettin	16 944		Fl	8841			57	13.11.2024	11,7128571428571	ebay	aus Set 7884 Landbote
	I	KPEV	Venmz	G224	Stettin	16 835		Fl	8830			59	13.11.2024	11,7128571428571	ebay	aus Set 7883 Landbote
;Selbstentladewagen
	II	DRG	OOt	G225	Oldenburg	191		Tr	15153-1		x	89	20.03.2021	27,7	ebay	aus Dreierset
	II	DRG	OOt	G226	Oldenburg	141		Tr	15153-3		x	89	20.03.2021	27,7	ebay	aus Dreierset
	II	DRG	OOt	G227	Oldenburg	692		Br	1800		X	63				
	II	DRG	OOt	G228	Oldenburg	698		Br	1800		X	63				
	II	DRG	OOt	G229	Oldenburg	705		Br	1800		X	63				
	II	DRG	OOt	G230	Oldenburg	692		Br	1800		X	63		15	eBay	mit Kohle
	II	DRG	OOt	G231	Oldenburg	698		Br	1800		X	63		15	eBay	mit Kohle
	II	DRG	OOt	G232	Oldenburg	734		Br	1801		X	63	20.03.2012	16,1666666666667	eBay	
	II	DRG	OOt	G233	Oldenburg	738		Br	1801		X	63	20.03.2012	16,1666666666667	eBay	
	II	DRG	OOt	G234	Oldenburg	832		Br	1801		X	63	20.03.2012	16,1666666666667	ebay	
	II	DRG	OOt	G235	Oldenburg	734		Br	1801		X	63	20.03.2012	17,27	Amazon	
