ID	Epoche	BV	Gattungsbezirk	Ordnungsnummer	Direktion	Bahnbetriebswerk	Hst	Art.-Nr.
P372	IV	DR		50 50 49 14230-1				
;Binnenverkehr (ex Karwendel)
P373	III	DR		641-013				
P374	III	DR		241-015				
P375	III	DR		241-015				
P376	III	DR		241-213				
P377	III	DR		241-215				
;Binnenverkehr (ex Eilzugwagen 30er)
P378	IV	DR		51 50 92 43 359-5				
P379	IV	DR		57 50 38 14 652-9				
P380	IV	DR		57 50 38 14 652-9				
P381	IV	DR		57 50 28 14 526-7				
P382	IV	DR		57 50 28 14 526-7				
P383	IV	DR		57 50 28 14 531-4				
P384	III	DR		60 50 70 10 100-7				
P385	III	DR		51 50 88 40 055-8				
;Doppelstockeinzelwagen (Anfang 70er)
P386	IV	DR		50 50 25-13 006-1				
P387	IV	DR		50 50 25-13 039-2				
P388	IV	DR		50 50 25-13 020-2				
P389	IV	DR		50 50 25-13 030-1				
P390	IV	DR		50 50 25-13 022-8				
;Doppelstockeinzelwagen (Sputnikverkehr)
P391	IV	DR						
P392	IV	DR						
P393	IV	DR						
P394	IV	DR						
P395	IV	DR						
;Doppelstockzüge (DB7, D13)
P396	IV	DR		50 50 26-25 467-0				
P397	IV	DR		50 50 26-25 468-8				
P398	IV	DR		50 50 26-12 085-5				
P399	IV	DR		50 50 26-12 086-3				
P400	IV	DR		50 50 26-12 087-1				
P401	IV	DR		50 50 26-12 088-9				
P402	IV	DR						
P403	IV	DR						
P404	IV	DR						
P405	IV	DR						
;4achs. Rekowagen
P406	IV	DR						
P407	IV	DR						
P408	IV	DR		50 50 28-05 009-2				
P409	IV	DR		50 50 28-05 009-2				
P410	IV	DR		57 50 28-14 455-9				
P411	IV	DR		57 50 28-13 262-0				
P412	IV	DR		57 50 28-13 262-0				
P413	IV	DR		57 50 28-13 262-0				
P414	IV	DR		57 50 28-13 262-0				
P415	IV	DR		57 50 28-13 420-4				
P416	IV	DR		57 50 28-13 420-4				
P417	IV	DR		57 50 28-13 420-4				
;2/3achs. Rekowagen
P418	IV	DR						
P419	IV	DR						
P420	IV	DR						
P421	IV	DR		50 50 24-25 371-1				
P422	IV	DR		50 50 23-24 719-8				
P423	IV	DR		50 50 24-15 020-1				
P424	IV	DR		50 50 23-15 296-2				
P425	IV	DR		50 50 23-15 188-7				
P426	IV	DR		50 50 93 50 070-2				
P427	IV	DR		50 50 90 15 871-6				
P428	IV	DR		50 50 23 15 351-1				
;3achs. Umbauwagen
P429	IV	DB		99 331 Wt				
P430	IV	DB		86 033 Wt				
P431	IV	DB		37 003 Wt				
P432	IV	DB		85 862 Wt				
P433	IV	DB		85 862 Wt				
;GÃ¼terzugbegleitwagen
G1	I	KPEV	Stettin					
G2	I	KPEV	Frankfurt	5469				
G3	I	KPEV	Frankfurt	5171				
G4	II	DRG	Frankfurt	95 647				
G5	II	DRG	Frankfurt	95 647				
G6	II	DRG	Hannover	122 460				
G7	II	DRG	Hannover	122 460				
G8	II	DRG	Hannover	122 460				
G9	II	DRG	Hannover	122 460				
G10	II	DRG	Hannover	122 460				
G11	II	DRG	NÃ¼rnberg	131 831				
G12	IV	DR		30 50 940 0032 - 4				
;Leig
G13	II	DRG	Stuttgart	132 781				
G14	II	DRG	Dresden	6344				
G15	II	DRG	Dresden	6344				
G16	II	DRG	Dresden	6344				
G17	II	DRG	Dresden	11 483				
G18	II	DRG	Dresden	11 484				
G19	II	DRG	Dresden	11 483				
G20	II	DRG	Dresden	11 484				
;Hilfszugwagen, Bauwagen
G21	II	DRG	NÃ¼rnberg	700 210				
G22	II	DRG	NÃ¼rnberg	710 251				
G23	III	DB						
G24	III	DB						
G25	III	DB						
G26	III	DB						
G27	III	DB						
G28	II	DRG	Frankfurt	700 004				
G29	II	DRG	Frankfurt	701 952				
G30	II	DRG	Frankfurt	700 253				
G31	II	DRG	Karlsruhe	700 500				
G32	I	KPEV	Stettin	10824				
G33	II	DRG	Magdeburg	1700				
;Gedeckte Wagen
G34	II	DRG	MÃ¼nchen	64 267				
G35	I	KPEV	Frankfurt	12 530				
G36	I	KPEV	Frankfurt	12 530				
G37	I	KPEV	Frankfurt	12 530				
G38	I	KPEV	Frankfurt	12 530				
G39	I	KPEV	Altona	15 026				
G40	I	K. Bay. St.B.	P	601 990				
G41	II	DRG	Hannover	11 057				
G42	I	KPEV	Berlin	16 142				
G43	I	KPEV	Berlin	16 127				
G44	I	KPEV	Berlin	16 127				
G45	II	DRG	Stettin	33 885				
G46	II	DRG	Stettin	33 885				
G47	II	DRG	Stettin	33 885				
G48	II	DRG	Stettin	33 885				
G49	II	DRG	Stettin	34 448				
G50	II	DRG	Stettin	35 448				
G51	II	DRG	Stettin	35 448				
G52	II	DRG	Stettin	35 448				
G53	I	KPEV	Altona	14 527				
G54	I	KPEV	Altona	14527				
G55	I	KPEV	Altona	14527				
G56	I	KPEV	Altona	14527				
G57	I	DRG	Altona	14 520				
G58	I	DRG	Altona	14 520				
G59	II	DRG	Stettin	33856				
G60	II	DRG	Stettin	33856				
G61	II	DRG	Stettin	33856				
G62	II	DRG	Stettin	33856				
G63	II	DRG	Stettin	33856				
G64	II	DRG	Stettin	33856				
G65	II	DRG	Stettin	33856				
G66	II	DRG	Stettin	33856				
G67	II	DRG	Stettin	33856				
G68	II	DRG	Stettin	33856				
G69	I	Meckl-Schwerin		600 013				
G70	II	DRG	Dresden	4040				
G71	II	DRG	Dresden	4042				
G72	I	KBayStB	NÃ¼rnberg	47 772				
G73	I	KBayStB		86 561				
G74	II	DRG	Kassel	52 219				
G75	II	DRG	Dresden	7214				
G76	II	DRG	Dresden	7214				
G77	II	DRG	Dresden	7214				
G78	II	DRG	Dresden	7214				
G79	II	DRG	Dresden	7214				
G80	II	DRG	Dresden	7214				
G81	I	KPEV	Erfurt	8155				
G82	II	DRG	Kassel	80 125				
G83	II	DRG	Kassel	80 125				
G84	II	DRG	Kassel	80 325				
G85	II	DRG	Dresden	21 005				
G86	I	KBayStB		43 596				
G87	I	KBayStB		43846				
G88	II	DRG	Kassel	14 206				
G89	II	DRG	Kassel	45 897				
G90	II	DRG	MÃ¼nchen	8 927				
G91	I	KPEV	Essen	19 268				
G92	I	KPEV	Essen	19 268				
G93	II	DRG	Kassel	24 655				
G94	II	FS		2301				
G95	II	SBB		31 117				
G96	II	SBB						
G97	II	DRG	Oppeln	5698				
G98	II	DRG	Oppeln	1555				
G99	II	DRG	Oppeln	17 646				
G100	II	DRG	Leipzig	2204				
G101	II	DRG	Bromberg	10 020				
G102	II	DRG	Bromberg	10 020				
G103	I	KPEV	CÃ¶ln	600 248				
G104	II	DRG	MÃ¼nster	579 031				
;Offene Wagen
G105	I	KPEV	Kgl. Mil. E.	487				
G106	I	KPEV	Magdeburg	54 713				
G107	I	K. Sachs. St. Eb		46 882				
G108	I	K. Sachs. St. Eb		46 137				
G109	I	KPEV	Magdeburg	31 555				
G110	I	K. Sachs. St. Eb		46 882				
G111	I	KPEV	SaarbrÃ¼cken	36 348				
G112	I	KPEV	SaarbrÃ¼cken	31 830				
G113	I	KPEV	Magdeburg	51 770				
G114	I	KPEV	SaarbrÃ¼cken	31 910				
G115	I	KPEV	SaarbrÃ¼cken	34 326				
G116	I	Oldenburg		6162				
G117	I	KPEV	Magdeburg	50 961				
G118	I	Meckl-Schwerin		10 281				
G119	I	KPEV	Bromberg	86 970				
G120	I	KPEV	Bromberg	86 970				
G121	I	KPEV	Bromberg	86 970				
G122	I	KPEV	Bromberg	86 970				
G123	I	KPEV	Bromberg	86 970				
G124	I	KPEV	Bromberg	86 970				
G125	I	KPEV	Magdeburg	66 887				
G126	I	Bad.St.B.	Baden	50 381				
G127	I	KPEV	Kattowitz	32 292				
G128	I	KPEV	Essen	334 045				
G129	I	KPEV	Essen	349 781				
G130	I	KBayStB		57 601				
G131	II	DRG	NÃ¼rnberg	23 219				
G132	II	DRG	NÃ¼rnberg	23 219				
G133	II	DRG	NÃ¼rnberg	23 219				
G134	II	DRG	Schwerin	26 538				
G135	II	DRG	Schwerin	26 538				
G136	II	DRG	Schwerin	26 538				
G137	II	DRG	Schwerin	25 231				
G138	II	DRG	Schwerin	25 231				
G139	II	DRG	Schwerin	26 538				
G140	II	DRG	Schwerin	26 538				
G141	II	DRG	Schwerin	26 538				
G142	II	DRG	Schwerin	26 538				
G143	II	DRG	Schwerin	26 538				
G144	II	DRG	Schwerin	26 538				
G145	II	DRG	Schwerin	26 538				
G146	II	DRG	Schwerin	26 538				
G147	II	DRG	Schwerin	26 538				
G148	II	DRG	Schwerin	26 538				
G149	II	DRG	Schwerin	26 538				
G150	II	DRG	Schwerin	26 538				
G151	II	DRG	Schwerin	26 538				
G152	II	DRG	Schwerin	26 538				
G153	II	DRG	Schwerin	26 538				
G154	II	DRG	Schwerin	26 538				
G155	II	DRG	Schwerin	26 538				
G156	II	DRG	Schwerin	26 538				
G157	II	DRG	Schwerin	26 538				
G158	II	DRG	Schwerin	26 538				
G159	II	DRG	Schwerin	26 538				
G160	II	DRG	Schwerin	26 538				
G161	II	DRG	Schwerin	25 231				
G162	II	DRG	Schwerin	25 231				
G163	II	DRG	Schwerin	25 231				
G164	II	DRG	Schwerin	25 231				
G165	II	DRG	Schwerin	25 231				
G166	II	DRG	Schwerin	25 231				
G167	II	DRG	Schwerin	25 231				
G168	II	DRG	Schwerin	25 231				
G169	II	DRG	Frankfiurt	60 113				
G170	II	DRG	Halle	41 177				
G171	II	DRG	Halle	41 177				
G172	II	DRG	Halle	41 177				
G173	II	DRG	Breslau	62 813				
G174	II	DRG	Essen	26 055				
G175	II	DRG	Essen	26 055				
G176	II	DRG	Essen	26 055				
G177	II	DRG	Essen	26 055				
G178	II	DRG	Essen	26 055				
G179	II	DRG	Essen	26 055				
G180	II	DRG	Essen	26 055				
G181	II	DRG	Essen	26 055				
G182	II	DRG	Essen	26 055				
G183	II	DRG	Essen	26 055				
G184	II	DRG	Essen	26 055				
G185	II	DRG	Breslau	56 147				
G186	II	DRG	Breslau	56 147				
G187	II	DRG	Breslau	56 147				
G188	II	DRG	Breslau	56 147				
G189	II	DRG	WÃ¼rttemberg	42 103				
G190	II	DRG	WÃ¼rzburg	21 557				
;Klappdeckelwagen
G191	II	KPEV	Berlin	17 422				
G192	I	KPEV	Berlin	17 422				
G193	I	K. Bay. St.B.	Ludwigshafen	49 153				
G194	II	DRG	Wuppertal	80 913				
G195	II	Kn	Elberfeld	10 348				
G196	II	DRG	Wuppertal	7576				
G197	I	KPEV	Stettin	17 123				
G198	I	K. SÃ¤chs. St. Eb.		24 924				
G199	II	DRG	Wuppertal	8944				
;Viehwagen
G200	II	DRG	WÃ¼rzburg	5658				
G201	I	KBayStB		65514				
G202	II	DRG	Frankfurt	6151				
G203	II	DRG	Frankfurt	6151				
G204	II	DRG	WÃ¼rzburg	18 778				
G205	II	DRG	WÃ¼rzburg	18 778				
G206	I	KPEV	KÃ¶nigsberg	30 164				
G207	I	KPEV	Magdeburg	34 608				
G208	I	KPEV	Magdeburg	34 608				
G209	II	DRG	WÃ¼rzburg	19 528				
G210	II	DRG	WÃ¼rzburg	19 528				
G211	II	DRG	WÃ¼rzburg	19 528				
G212	I	DRG	Stettin	18 831				
G213	I	DRG	Hanover	18 637				
G214	I	DRG	Hanover	18 637				
G215	II	DRG	Altona	508				
G216	II	DRG	Altona	508				
G217	I	KPEV	Hannover	18 648				
G218	II	DRG	Altona	212				
G219	II	DRG	Altona	212				
G220	II	DRG	Altona	212				
G221	II	DRG	Altona	18 196				
G222	II	DRG	Altona	6205				
G223	I	KPEV	Stettin	16 944				
G224	I	KPEV	Stettin	16 835				
;Selbstentladewagen
G225	II	DRG	Oldenburg	191				
G226	II	DRG	Oldenburg	141				
G227	II	DRG	Oldenburg	692				
G228	II	DRG	Oldenburg	698				
G229	II	DRG	Oldenburg	705				
G230	II	DRG	Oldenburg	692				
G231	II	DRG	Oldenburg	698				
G232	II	DRG	Oldenburg	734				
G233	II	DRG	Oldenburg	738				
G234	II	DRG	Oldenburg	832				
G235	II	DRG	Oldenburg	734				
G236	II	DRG	Oldenburg	738				
G237	II	DRG	Oldenburg	832				
G238	II	DRG	Oldenburg	734				
G239	II	DRG	Oldenburg	738				
G240	II	DRG	Oldenburg	832				
G241	II	DRG	Oldenburg	734				
G242	II	DRG	Oldenburg	738				
G243	II	DRG	Oldenburg	832				
G244	II	DRG	Oldenburg	734				
G245	II	DRG	Oldenburg	738				
G246	II	DRG	Oldenburg	832				
G247	II	DRG	Regensburg	701 927				
G248	II	DRG	Regensburg	701 927				
G249	II	DRG	Regensburg	701 927				
G250	II	DRG	Regensburg	701 927				
G251	II	DRG	Regensburg	701 927				
G252	II	DRG	Regensburg	701 927				
G253	II	DRG	Regensburg	701 927				
G254	II	DRG	Regensburg	701 927				
G255	II	DRG	Oldenburg	4046				
G256	II	DRG	Oldenburg	4048				
G257	II	DRG	Oldenburg	4050				
;Niederbord-, Flach-, Rungenwagen
G258	II	DRG	KÃ¶ln	8366				
G259	I	KPEV	Essen	17 309				
G260	I	KPEV	CÃ¶ln	21 416				
G261	I	KPEV	Essen	17 307				
G262	I	KPEV	Hannover	37 095				
G263	I	KPEV	Hannover	37 095				
G264	I	KPEV	Hannover	37 095				
G265	I	KPEV	Hannover	37 095				
G266	II	DRG	KÃ¶ln	916				
G267	II	DRG	Erfurt					
G268	II	DRG	Erfurt	44 738				
G269	II	DRG	Erfurt	6162				
G270	II	SBB		566 001				
G271	I	KBayStB		9545				
G272	II	DRG	Erfurt	64 354				
G273	II	DRG	Regensburg	19 864/20 275				
G274	II	DRG	Regensburg	19 864/20 275				
G275	I	KPEV	Magdeburg/					
8814	101 105/45 051							
G276	II	DRG	KÃ¶ln	14 402				
G277	II	DRG		14 519				
G278	II	DRG		14 489				
G279	II	DRG		14 552				
;Kesselwagen
G280	I	K.Bay.St.B						
G281	I	K.Bay.St.B						
G282	I	DRG	Halle	502 578				
G283	II	DRG	Hannover	564 691				
G284	II	DRG	Halle	559 897				
G285	I	DRG	Erfurt	502 231				
G286	I	KPEV	CÃ¶ln	502 196				
G287	I	KPEV	LÃ¼beck	502 284				
G288	I	KPEV	CÃ¶ln	503 225 [P]				
G289	I	KPEV	Elberfeld	502 301				
G290	II	DRG	Essen	501 463				
G291	II	DRG	Stettin	581 092				
G292	II	DRG	Essen	502 856				
G293	II	DRG	Hannover	900 399				
G294	II	DRG	Stettin	581 829				
G295	II	DRG	Stettin	581 829				
G296	II	DRG	Essen	501 482				
G297	II	DRG	Essen	501 483				
G298	II	DRG	Essen	501 484				
G299	II	DRG	KÃ¶ln	540 562				
G300	II	DRG	MÃ¼nchen	518 322				
G301	II	DRG	Dresden	550 993				
G302	II	DRG	Dresden	550 993				
G303	II	SBB		534 215				
G304	II	DRG	MÃ¼nchen	518 131				
;KÃ¼hlwagen
G305	II	DRG	Dresden	555 137				
G306	II	DRG	MÃ¼nchen	513 716				
G307	II	DRG	Berlin	2870				
G308	II	DRG	Berlin	600 215				
G309	I	KPEV	CÃ¶ln	600 248				
G310	II	DRG	MÃ¼nster	579 031				
G311	II	DRG	Berlin	398				
G312	I	DRG	MÃ¼nster	600 017				
G313	I	DRG	MÃ¼nster	600 017				
G314	I	KPEV	Essen	600 169				
G315	I	KPEV	Essen	600 169				
G316	I	KPEV	Essen	600 169				
G317	I	KPEV	Essen	600 169				
G318	II	DRG	Berlin	523				
G319	II	DRG	Berlin	523				
G320	II	DRG	Oldenburg	589 041				
G321	II	DRG	Frankfurt	556 080				
G322	II	DRG	Berlin	1678				
G323	II	DRG	Berlin	1678				
G324	I	KPEV	Berlin	600 532				
G325	I	KPEV	Berlin	600 532				
G326	II	SBB		533 216				
G327	II	DRG	Berlin	530 255				
G328	II	SBB		516 309				
G329	II	DRG	SaarbrÃ¼cken	11 007				
G330	II	DRG	SaarbrÃ¼cken	11 008				
G331	I	DRG	Altona	600 707				
;Sonstige Wagen
G332	I	KPEV	Essen	505 165				
G333	II	DRG		537 082				
G334	II	DRG	MÃ¼nchen	520 769				
G335	II	SBB		520 753				
G336	II	DRG	Mainz	502 324				
G337	I	KPEV	KÃ¶ln	500 043				
G338	I	KPEV	KÃ¶ln	500 043				
G339	I	KPEV	KÃ¶ln	500 043				
G340	I	KPEV	KÃ¶ln	500 043				
G341	I	KPEV	Halle	560 569				
G342	II	DRG	MÃ¼nchen	518 324				
G343	II	DRG	MÃ¼nchen	518 324				
G344	II	DRG						
G345	II	DRG	NÃ¼rnberg	26 611				
G346	II	DRG	NÃ¼rnberg	26 669				
;Ep III/IV DR und DB
G347	IV	DR		40 50 943 9788-2				
G348	IV	DR		40 50 944 4227-5				
G349	IV	DB		21 80 411 7 882-1				
G350	IV	DB		52 80 514 5 724-3				
G351	IV	DB		52 80 514 5 613-1				
G352	IV	DB		42 80 514 1 113.3				
G353	IV	DR		21 50 510 3494-4				
G354	IV	DR		21 50 510 3492-8				
G355	IV	DB		01 80 505 6 612--6				
G356	IV	DR						
G357	IV	DB		47 35 480 5 517-6				
G358	IV	DB		01 80 508 5 385-4				
G359	IV	DB		01 80 508 5 385-4				
G360	III	DB		715 248				
G361	III	DB		884 262				
G362	III	DB		884 262				
G363	III	DB		884 262				
G364	III	DB		885 008				
G365	IV	DB		01 80 508 1 234-8				
G366	?	?	?	?				
G367	IV	DB		01 80 5085 383-9				
G368	IV	DR		31 50 594 9 373-6				
G369	IV	DR		31 50 594 9 324-9				
G370	IV	DR		11 80 534 1 713-5				
G371	IV	DR		11 80 534 2 986-6				
G372	IV	DR		31 50 594 9 189-6				
G373	IV	DR		31 50 594 9 225-6				
G374	IV	DR		31 50 594 9 106-0				
G375	IV	DR		31 50 592 3460-1				
G376	IV	DR		31 50 592 3570-7				
G377	IV	DR		31 50 592 3610-1				
G378	IV	DR						
G379	IV	DB		20 80 327 3 378-4				
G380	III	DB		#				
G381	III	DB		350 002				
G382	III	DB		350 009				
G383	IV	DR		21 50 6771 850-6				
G384	IV	DR		21 50 6771 852-2				
G385	IV	DR		21 50 6771 854-8				
G386	IV	DR		31 50 677 1 828-0				
G387	IV	DR		31 50 677 1 979-1				
G388	IV	DR		31 50 677 2 201-9				
G389	IV	DR		31 50 583 5020-0				
G390	IV	DR		31 50 583 5028-3				
G391	IV	DR		31 50 583 5033-3				
G392	IV	DR		31 50 583 5020-0				
G393	IV	DR		31 50 583 5028-3				
G394	IV	DR		31 50 583 5033-3				
G395	IV	DR						
G396	IV	DB		21 50 575 0 362-8				
G397	IV	DB		21 50 575 0 362-8				
G398	IV	DR		21 80 540 5 386-1				
G399	IV	DP		50 50 00-29 417-1				
G400	IV	DR		21 50 120 5 405-8				
G401	IV	DR		20 81 111 0 042-5				
G402	IV	DR						
G403	IV	DR		20 81 111 0 042-5				
G404	IV	DB		01 80 151 2 166-8				
G405	IV	DR		21 50 150 0 118-7				
G406	IV	DR		21 50 150 0 076-7				
G407	IV	DR		21 50 120 0066-1				
G408	IV	DR		21 50 120 0077-9				
G409	IV	DR		21 50 174 2517-7				
G410	IV	DB		211 4 189-2				
G411	III	DB		300 217				
G412	III	DB		56 93 31				
G413	IV	DR		17 50 807 8032-9				
G414	IV	DR		17 50 807 8055-0				
G415	IV	DR		17 50 807 8090-7				
G416	IV	DR		17 50 807 8032-9				
G417	IV	DR		17 50 807 8055-0				
G418	IV	DR		17 50 807 8090-7				
G419	IV	FS		11 83 083 0 682-8				
G420	IV	DB		43 80 082 4 112-9				
G421	III	DB		308 351				
G422	IV	DR						
G423	IV	DR						
G424	IV	DR						
G425	IV	DB		23 80 765 0 887-4				
G426	IV	DB		23 80 735 6 013-4				
G427	III	DB		586 962				
G428	IV	DR		21 50 730 0 826-4				
G429	IV	DR		21 50 730 0 977-5				
G430	IV	DR		35 50 7858 514-8				
G431	IV	DR		35 50 7858 520-3				
G432	IV	DR		35 50 7858 543-5				
G433	III	DB		542 571				
G434	IV	DB		21 80 005 1 291-1				
G435	III	DR		51-98-36				
G436	IV	DB		21 80 572 9 029-6				
G437	IV	DB						
G438	IV	DB						
G439	IV	DB						
G440	IV	DB						
G441	IV	DB						
G442	IV	DB						
G443	IV	DR						
G444	IV	DR						
G445	IV	DR						
G446	IV	DR		51 50 154 0257-5				
G447	IV	DB						
G448	IV	DB						
G449	IV	DB		01 80 120 4 302-2				
G450	IV	DR		21 50 120 5405-8				
G451	IV	DR		21 50 120 5405-8				
