z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
x		II	Mitropa	x	WR4ü-39		1213	P192		Tr	15801.2	15801	147		2,498	ebay		 Berlin Leb - Hamburg Altona	Graues Dach statt Gelb bei 13721. Loch in einer Stirnseite
;Einheits-Eilzugwagen Gruppe 30
		II	DRG	-	B4i-30	Frankfurt	25 139	P193		Fl	867503		131	20.10.2019	32,65	ebay			Falsch: Faltenbalg (ein eingezogener liegt noch bei) und Seitengang. War: 1+3-Bestuhlung.
Zuglauf Kassel-Bebra-Fulda-Hanau-Offenbach-Frankfurt/M
;Einheits-Eilzugwagen Gruppe 36
		II	DRG	-	Pw4i-33	Köln	112 379	P194		Ro	02061.1	02061S	131		26,6666666666667	ebay			
		II	DRG	-	BC4i-37	München	33 614	P195		Ro	02061.2	02061S	132		26,6666666666667	ebay			
		II	DRG	-	BC4i-37	München	33 614	P196		Ro	02061.3	02061S	132		26,6666666666667	ebay			
		II	DRG	-	C4i-36	München	73 627	P197		Ro	02061.4	02061S	130		26,6666666666667	ebay			
		II	DRG	-	C4i-36	München	73 627	P198		Ro	02061.5	02061S	130		26,6666666666667	ebay			
		II	DRG	-	C4i-36	München	73 627	P199		Ro	02061.6	02061S	130		26,6666666666667	ebay			
;Bay. 3achs. Schnellzugwagen
		II	DRG	-	AB3ü-bay94	München	29 001	P200		Tr	15681.1	15681	85	08.05.2019	25,9816666666667	ebay			
		II	DRG	-	C3ü-bay99	München	29 532	P201		Tr	15681.2	15681	85	08.05.2019	25,9816666666667	ebay			
		II	DRG	-	C3ü-bay99	München	29 533	P202		Tr	15681.3	15681	85	08.05.2019	25,9816666666667	ebay			
		II	DRG	-	C3ü-bay99	München	29 535	P203		Tr	15681.4	15681	85	08.05.2019	25,9816666666667	ebay			
		II	DRG	-	Pw3ü-bay95	München	90 503	P204		Tr	15681.5	15681	72	08.05.2019	25,9816666666667	ebay			
;Bay. Nebenbahnwagen
		II	DRG	-	Post-b/8,5		24 Au	P205		Di	010136		65	02.01.2017	14,89	MiWuLa		Postumlauf 2027 Nördlingen -> Bernbühl, 2028 Gegenrichtung	
		II	DRG	-	Pwi-bay07	München	116 663	P206		Fl	8090		66	26.05.2018	24,5166666666667	ebay			
x		I	KBayStsB	-	PPostL 	Regensburg	21 141	P207		Tr	11604.1	11604	63	20.03.2023	20	ebay			Mit 20€ bewertet
x		I	KBayStsB	-	BCi 	Regensburg	2721	P208		Tr	11604.2	11604	74	20.03.2023	20	ebay			Mit 20€ bewertet
		II	DRG	-	BCi-bay10	München	38 441	P209		Fl	809301		71	18.01.2014	16,51	dm-toys			Gefangenenabteil
		II	DRG	-	BCi-bay10	München	38 452	P210		Fl	8091		71	26.05.2018	24,5166666666667	ebay		Rosenheim - Frasdorf	
x		I	KBayStsB	-	Ci 	Regensburg	12 213	P211		Tr	11604.3	11604	74	20.03.2023	20	ebay			Mit 20€ bewertet
		II	DRG	-	Ci-bay10	München	93 968	P212		Fl	8092		75	26.05.2018	24,5166666666667	ebay			
;Württ. Nebenbahnwagen
		II	DRG	-	Ci-wü05	Stuttgart	40 015	P213		Br	1850.1	1850	81	16.07.2016	22,3333333333333	zu160			
		II	DRG	-	Ci-wü05	Stuttgart	40 015	P214		Br	1850.1	1850	81	13.01.2019	17,29	zu160			
		II	DRG	-	Di-wü08	Stutgart	50 238	P215		Br	1850.2	1850	81	16.07.2016	22,3333333333333	zu160			
		II	DRG	-	Di-wü08	Stutgart	50 238	P216		Br	1850.2	1850	81	13.01.2019	17,29	zu160			
		II	DRG	-	Di-wü98a	Stuttgart	50 029	P217		Br	1850.3	1850	81	16.07.2016	22,3333333333333	zu160			
		II	DRG	-	Di-wü98a	Stuttgart	50 029	P218		Br	1850.3	1850	81	13.01.2019	17,29	zu160			
		II	DRG	-	DPPi-wü98	41 Stuttgart		P219		Br	1873		92	13.01.2019	17,29	zu160			
		II	DRG	-	D4i-wü99	Stuttgart 34 114		P220		Br	1870		92	13.01.2019	17,29	zu160			Zuglauf Schorndorf - Welzheim (Nebenbahn!)
	Bild	II	DRG	-	C4i-wü98	Stuttgart 34 117		P221		Br	1871		92	21.08.2022	28,14	ebay			Zuglauf Schorndorf - Welzheim (Nebenbahn!)
;Preuß. Lokalbahnwagen
	Bild	I	KPEV	-	PPosti pr84	Altona	3801	P222		Fl	7898-2	7898	57	12.12.2021	18	ebay			Aus Set, mit Profikupplung
		II	DRG	-	PwPosti-pr84	Königsberg	099 522	P223		Fl	8057		56	20.11.2015	12	Modell Süd			
		II	DRG	-	BCi-pr86	Königsberg	037 061	P224		Fl	8058		56	20.11.2015	13	Modell Süd			
		I	KPEV	-	C 	Halle	1488	P225		Fl	7882	7898	56	13.11.2023	17,078	ebay		Stahnsdorf - Bitterfeld	offene Bühnen
		I	KPEV	-	C 	Halle	1489	P226		Fl	7882	7898	56	13.11.2023	17,078	ebay		Stahnsdorf - Bitterfeld	geschlossene Bühnen
		II	DRG	-	Ci-pr86	Königsberg	050 211	P227		Fl	8059		56	20.11.2015	10	Modell Süd			
		I	KPEV	-	PPost 	Halle	3961	P228		Fl	7882		57	13.11.2023	17,078	ebay			Lok mit 0 bewertet, noch abziehen
		I	KPEV	-	D 	Halle	2456	P229		Fl	7882	7898	56	13.11.2023	17,078	ebay		Stahnsdorf - Bitterfeld	offene Bühnen
		I	KPEV	-	CD 	Halle	903	P230		Fl	7882	7898	56	13.11.2023	17,078	ebay		Stahnsdorf - Bitterfeld	offene Bühnen
;Preuß. zweiachsige Nebenbahnwagen
x		II	DRG	-	CPwi-pr05b	Altona	92 340x	P231		Fl	8765		68			ebay		Husum - Schleswig	
	Bild	I	KPEV	-	CDi pr05b	Altona	1959	P232		Fl	7898-3	7898	68	12.12.2021	18	ebay			
	Bild	I	KPEV	-	Post-b/8,5 	Erfurt	2678	P233		Fl	8811	7881	69	23.07.2022	11,73	ebay			
	Bild	I	KPEV	-	C pr	Erfurt	2361	P234		Fl	8812	7881	68	23.07.2022	11,73	ebay		Gotha - Leinefelde	
	Bild	I	KPEV	-	CD pr	Gotha	2522	P235		Fl	8813	7881	68	23.07.2022	11,73	ebay		Gotha - Leinefelde	
	Bild	I	KPEV	-	CD pr	Erfurt	2532	P236		Fl	8814	7881	68	23.07.2022	11,73	ebay		Gotha - Leinefelde	
x		II	DRG	-	CCitr-pr05	Breslau	92467	P237		Fl	8766		68	06.12.2018	15	ebay			
x		II	DRG	-	CCitr-pr05	Breslau	92467	P238		Fl	8766		68		0	Wolfgang Nachbar			
;Preuß. zwei- und dreiachsige Nebenbahnwagen
	Bild	I	KPEV	-	PwPosti pr07	Halle	5986	P239		Fl	8894	7899		05.01.2022	18	ebay			Mit Profikupplung
	Bild	I	KPEV	-	BCi pr07	Halle	706	P240		Fl	8895	7899		05.01.2022	18	ebay			Mit Profikupplung
	Bild	I	KPEV	-	BCi pr07	Hannover	720	P241		Fl	781202	781202		13.03.2025	22	ebay			
	Bild	I	KPEV	-	CD3i pr07	Breslau	2282	P242		Fl	8896	7899		05.01.2022	18	ebay			Mit Profikupplung
	Bild	I	KPEV	-	CD3itr pr07	Breslau	2429	P243		Fl	8897	7899		05.01.2022	18	ebay			Mit Profikupplung
	Bild	I	KPEV	-	CD3i pr07	Stettin	2747	P244		Fl	7902.4	7902		05.01.2022	18	ebay			Aus Set, mit Profikupplung
	Bild	I	KPEV	-	Di pr07	Halle	2653	P245		Fl	8898			23.06.2023	17,9	ebay			Ergänzungswagen Set 7899. Fehlende  Mittelachse, mit Profikupplung
	Bild	I	KPEV	-	Di pr07	Hannover	2641	P246		Fl	781202	781202		13.03.2025	22	ebay			
x		II	DRG	-	PwPosti-pr07	Berlin	99 511	P247		Fl	8870	7897	74	23.05.2007	18	ebay			
		II	DRG	-	PwPosti-pr07	Berlin	99 511	P248		Fl	8870	7897	74	11.07.2024	5,2	ebay			
x		II	DRG	-	PwPosti-pr07	Berlin	99 511	P249		Fl	8870		74	02.02.2001	22,98257005977	Pietsch			
x		II	DRG	x	PwPosti-pr07	Berlin	99 511	P250		Fl	8870		74	30.07.2021	10,3266666666667	ebay			
x		II	DRG	-	PwPosti-pr07	Berlin	99 511	P251		Fl	8870	7897	74	14.08.2025	5,238	ebay			
		II	DRG	-	CD3itr-pr07	Halle	49 001	P252		Fl	8871		76						
		II	DRG	-	CD3itr-pr07	Halle	49 001	P253		Fl	8871	7897	76	23.05.2007	18	ebay			
		II	DRG	-	CD3itr-pr07	Halle	49 001	P254		Fl	8871	7897	76	11.07.2024	5,2	ebay			
		II	DRG	-	CD3itr-pr07	Halle	49 001	P255		Fl	8871	7897	76	30.07.2021	10,3266666666667	ebay			
		II	DRG	-	CD3itr-pr07	Halle	49 001	P256		Fl	8871	7897	76	14.08.2025	5,238	ebay			
		II	DRG	-	D3itr-pr08	Halle	50 280	P257		Fl	8875		76						
;Preuß. zwei-/dreiachsige Abteilwagen
		I	KPEV	-	Pw3 	Erfurt	3140	P258		Fl	8893	7890	69	03.05.2022	15	ebay			altes Modell, us Set 7890, mit 15€ bewertet,
		I	KPEV	-	Pw3 	Coeln	3247	P259		Fl	806802		81	19.03.2022	14,25	1zu160			
		II	DRG	-	Pw3-pr11	Altona	111 037	P260		Fl	806804		80	17.02.2013	26,28	ebay			
		I	KPEV	-	BC3 pr11	Coeln	1126	P261		Fl	806502		79	19.03.2022	18,25	1zu160		Coeln-Düren-Aachen	mit Bremserhaus
		I	KPEV	-	BC3 pr11	Coeln	1126	P262		Fl	806502		79					Coeln-Düren-Aachen	mit Bremserhaus
		I	KPEV	-	BC3 pr11	Berlin	1149	P263		Fl	781202.2	781202	79	13.03.2025	22	ebay			mit 22€ bewertet,Berlinwappen
		I	KPEV	-	BC3 pr11	Berlin	1153	P264		Fl	781202.3	781202	79	13.03.2025	22	ebay			mit 22€ bewertet, Berlinwappen
		I	KPEV	-	C3 	Halle	1762	P265		Fl	8892	7890	69	03.05.2022	15	ebay		von Eisenach über Erfurt nach Weimar	altes Modell, mit 15€ bewertet
		I	KPEV	-	C3 pr11	Berlin	1891	P266		Fl	781202.4	781202	79	13.03.2025	22	ebay			mit 22€ bewertet, Berlinwappen
		I	KPEV	-	C3 pr11	Coeln	1873	P267		Fl	807003		79					Coeln-Düren-Aachen	mit Bremserhaus
		I	KPEV	-	C3 pr11	Coeln	1873	P268		Fl	807003		79	19.03.2022	18,25	1zu160		Coeln-Düren-Aachen	mit Bremserhaus
		I	KPEV	-	C3 pr11	Coeln	1873	P269		Fl	807003		79	22.09.2025	26	1zu160		Coeln-Düren-Aachen	mit Bremserhaus, mit 2 Profikupplungen
		I	KPEV	-	C3 pr11	Coeln	1879	P270		Fl	807004		79					Coeln-Düren-Aachen	mit Bremserhaus
		I	KPEV	-	C3 pr11	Coeln	1879	P271		Fl	807004		79	19.03.2022	18,25	1zu160		Coeln-Düren-Aachen	mit Bremserhaus
		II	DRG	-	C3-pr11	Altona	70 501	P272		Fl	807005		79	08.03.2014	20	ebay			mit Bremserhaus
		II	DRG	-	C3-pr11	Altona	70 517	P273		Fl	807006		79	08.03.2014	20	ebay			
		II	DRG	-	C3-pr11	Altona	70 517	P274		Fl	807006		79	08.03.2014	20	ebay			
		II	DRG	-	C-pr21	Altona	70 544	P275		Fl	807104		79						mit Bremserhaus
		II	DRG	-	C-pr21	Altona	70 544	P276		Fl	807104		79						mit Bremserhaus
		II	DRG	-	C-pr21	Altona	70 544	P277		Fl	807104		79						mit Bremserhaus
;Einheitspersonenwagen (Abteil) für Hauptbahnen
		II	DRG	-	Pwi-23	Mainz	114 151	P278		Tr	13745		86						
		II	DRG	-	Pwi-23	München	114 178	P279		Tr	11422.1	11422	86	24.11.2019	12	ebay			
		II	DRG	-	Cd-21b	Mainz	44 831	P280		Tr	13744		86						
		II	DRG	-	Cd-21b	Frankfurt	45 424	P281		Tr	11422.2	11422	86	24.11.2019	12	ebay		München-Ingolstadt	
		II	DRG	-	BCd-21	Mainz	31 040	P282		Tr	11422.3	11422	86	24.11.2019	12	ebay		München-Ingolstadt	
		II	DRG	-	BCd-21	Mainz	31 036	P283		Tr	13743		86	07.12.2018	12	ebay			
;EInheitsdurchgangspersonenwagen (Donnerbüchsen)
		II	DRG	-	Pwi-28	Nürnberg	114 263	P284		Fl	8660		87						
		II	DRG	-	Bi-29	Nürnberg	28 604	P285		Fl	8661		87						
		II	DRG	-	BCi-28	Nürnberg	36 441	P286		Fl	8663		87						
		II	DRG	-	Ci-28	Nürnberg	41 504	P287		Fl	8872		87	25.10.2002	12,5	ebay			
		II	DRG	-	Ci-28	Nürnberg	41 504	P288		Fl	8872	7897	87	23.05.2007	18	ebay			
		II	DRG	-	Ci-28	Nürnberg	41 504	P289		Fl	8872	7897	87	11.07.2024	5,2	ebay			
		II	DRG	-	Ci-28	Nürnberg	41 504	P290		Fl	8872	7897	87	14.08.2025	5,238	ebay			
		II	DRG	-	Ci-28	Nürnberg	41 504	P291		Fl	8872		87	30.07.2021	10,3266666666667	ebay			
		II	DRG	-	Ci-28	Nürnberg	84 523	P292		Fl	8662		87						
		II	DRG	-	Cid-27	Nürnberg	83 072	P293		Fl	8659		87	06.12.2018	21,16	ebay Nann		Nürnberg - Forchheim - Beringersmühle	
;Städteexpress
		IV	DR	-	Ame		51 50 10 40 206-0	P294		HN	902151		165		46,375	Modellbahn-Apitz		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Ame		51 50 10 40 206-0	P295		HN	902151		165		46,375	Modellbahn-Apitz		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Bme		51 50 21 53 005-7	P296		HN	902182		165		46,375	Modellbahn-Apitz		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Bme		51 50 21 53 005-7	P297		HN	902182		165		46,375	Modellbahn-Apitz		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Bmh		50 50 21 12 004-1	P298		HN	902516		165	17.09.2024	42,11	ebay		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Bmh		50 50 21 12 000-9	P299		HN	902547		165	17.09.2024	42,11	ebay		Ex 170/177 Elbflorenz Dresden-Berlin	
		IV	DR	-	Ame			P300		HN	4435		165	08.01.2025	42,49	MSL			
		IV	DR	-	Bme			P301		HN	4435		165	08.01.2025	42,49	MSL			
		IV	Mitropa	-	Wrge			P302		Br	65058		117		50				
;Internationaler Verkehr (UIC Y, Z)
		IV	DR	-	BDme		51 50 82 45 007-8	P303		Tr	15965		153	05.10.2015	26,99	ebay		Erfurt - Karl-Marx-Stadt	
x		IV	DR	-	BDme		51 50 82 45 007-8	P304		Tr	15965		153	11.09.2025	36,5	ebay		Erfurt - Karl-Marx-Stadt	Für etwa 55€ verkaufen, aber Trittstufen! (-10€ dafür)
		IV	DR	-	Ame			P305		HN	4141		165	18.06.2015	20,54	dm-toys (ebay)			
		IV	DR	-	Bme		51 50 20-40 129-2	P306		Tr	15964		153	11.09.2025	36,5	ebay		Erfurt - Karl-Marx-Stadt	
		IV	DR	-	Bme			P307		Tr	15963		153	11.09.2025	36,5	ebay		Erfurt - Karl-Marx-Stadt	
		IV	DR	-	Bme		51 50 21 53-204-6	P308		Ar	0348.1	0348	165	12.10.2024	30	Modellbahn Rhein-Main			Wagen mit 30€ bewertet
		IV	DR	-	Bme		51 50 21 53-124-6	P309		Ar	0348.2	0348	165	12.10.2024	30	Modellbahn Rhein-Main			Wagen mit 30€ bewertet
		IV	DR	-	Bme		51 50 21 53-096-6	P310		Ar	0348.3	0348	165	12.10.2024	30	Modellbahn Rhein-Main			Wagen mit 30€ bewertet
		IV	DR	-	Bme			P311		HN	4436-2		165	16.01.2024	40,2166666666667	Ars Technica		D242 Paris-Warschau	
		IV	DR	-	Bme			P312		HN	4436-3		165	16.01.2024	40,2166666666667	Ars Technica		D242 Paris-Warschau	
		IV	Mitropa	-	WRm			P313		HN	4436-1		165	16.01.2024	40,2166666666667	Ars Technica		D242 Paris-Warschau	
		IV	DR	-	Am203		51 80 10-40 223-9	P314		HN	4315		165	04.08.2023	24,95	ebay			
		IV	DR	-	Bm234		51 80 22-41 037-8	P315		HN	4315		165	04.08.2023	24,95	ebay			
		IV	DR	-	Bm233		51 80 22-40 951-1	P316		HN	4315		165	04.08.2023	24,95	ebay			
		IV	DB	-				P317		Tr	15639-1		165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
		IV	DB	-				P318		Tr	15639-1		165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
		IV	DB	-				P319		Tr	15639-1		165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
		IV	DB	-				P320		HN			165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
		IV	DB	-				P321		HN			165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
		IV	DB	-				P322		HN			165	22.07.2026	0,446666666666668	ebay 		250 und 15639 verkauft	
;Binnenverkehr (UIC B)
		IV	DR	-	B		51 50 20-40 030-2	P323		HN	4483-1		154	20.01.2026	43,9666666666667	MSL		Ohne!	
		IV	DR	-	B		51 50 20-45 033-1	P324		HN	4483-2		154	20.01.2026	43,9666666666667	MSL		Ohne!	
		IV	DR	-	WR		51 50 88-40111-9	P325		HN	4483-3		154	20.01.2026	43,9666666666667	MSL		Ohne!	
		IV	DR	-	ABme		51 50 39-40 061-6	P326		Tr	15766.1		154	19.05.2025	38,3833333333333	ebay		Berlin Stadtb - Hamburg	Interzonenzug frühe Epoche IV
		IV	DR	-	Bme		51 50 20-40 198-7	P327		Tr	15766.3		154	19.05.2025	38,3833333333333	ebay		Berlin Stadtb - Hamburg	Interzonenzug frühe Epoche IV
		IV	DR	-	Bme		51 50 20-40 207-6	P328		Tr	15766.2		154	19.05.2025	38,3833333333333	ebay		Berlin Stadtb - Hamburg	Interzonenzug frühe Epoche IV
		IV	DR	-	Bcme		51 50 59 40 009-0	P329		HN	01.01.4423		154	14.02.2025	39,9666666666667	ebay 			Liegewagen
		IV	Mitropa	-	WLABm		51 50 70 40 177-5	P330		HN	01.02.4423		154	14.02.2025	39,9666666666667	ebay 			mit Zierstreifen
		IV	Mitropa	-	WLABm		51 50 70 40 124-2	P331		HN	01.03.4423		154	14.02.2025	39,9666666666667	ebay 			mit Zierstreifen
		IV	Mitropa	-	WRm		51 50 88 40 103-6	P332		HN	01.01.4424		154	14.02.2025	44,37	Modellbahn-Härtle			mit Zierstreifen
		IV	DR	-	DDm		51 50 98 80 002-9	P333		HN	4424-2		165	14.02.2025	44,37	Modellbahn-Härtle			Autotransport
		IV	DR	-	DDm		51 50 98 80 003-7	P334		HN	4424-3		165	14.02.2025	44,37	Modellbahn-Härtle			Autotransport
;Binnenverkehr (Mitteleinstiegwagen)
		IV	Mitropa	-	Wrge			P335		Br	65057		116,9	13.09.2017	27,5	MSL			
		IV	DR	-	Bmhe		51 50 21-40 039-2	P336		Br	65100		165	09.08.2018	17,5	1zu160			
		IV	DR	-	Bmhe		51 50 21-40 045-9	P337		Br	65101		165	09.08.2018	17,5	1zu160			
		IV	DR	-	Bmhe		51 50 21-40 071-5	P338		Br	65102		165	09.08.2018	17,5	1zu160			
		IV	DR	-	Bmhe		51 50 21-40 106-9	P339		Br	65103		165	09.08.2018	17,5	1zu160			
		IV	DR	-	Bmhe		51 50 21-40 039-2	P340		Br	65100		165	26.05.2015	19,388	Modellbahn Kramm 			
		IV	DR	-	Bmhe		51 50 21-45 078-5	P341		Br	65104		165	26.05.2015	16,3955	Modellbahn Kramm 			
		IV	DR	-	Bmhe		51 50 21-45 094-2	P342		Br	65105		165	26.05.2015	16,3955	Modellbahn Kramm 			
		IV	DR	-	Bmhe		51 50 21-45 101-5	P343		Br	65106		165	26.05.2015	16,3955	Modellbahn Kramm 			
		IV	DR	-	Bmhe		51 50 21-45 120-5	P344		Br	65107		165	26.05.2015	16,3955	Modellbahn Kramm 			
;Balt-Orient-Express
		IV	DR	-	Bme		51 50 20-40 070-8	P345		Tr	15995.1	15995	153	18.09.2020	33,9666666666667	SMDV		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	DR	-	Ame		51 50 19-80 043-9	P346		Tr	15995.3	15995	153	18.09.2020	33,9666666666667	SMDV		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	DR	-	Bme		51 50 20-80 218-4	P347		Tr	15995.2	15995	153	18.09.2020	33,9666666666667	SMDV		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	Mitropa	-	WLAB		51 50 70-40 159-8	P348		Tr	15996.1	15996	153	23.09.2020	49,9666666666667	ebay			
		IV	CFR	-	WLAB		51 53 70-50 019-8	P349		Tr	15996.2	15996	153	23.09.2020	49,9666666666667	ebay		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	MAV	-	WLAB		51 55 70-80 002-6	P350		Tr	15996.3	15996	153	23.09.2020	49,9666666666667	ebay		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest	
		IV	CSD	-	Bcm		51 54 59-41 156-4	P351		Tr	15997.1	15997	153	17.09.2020		dmToys		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	CSD	-	Bm		51 54 20-40 457-3	P352		Tr	15997.2	15997	153	17.09.2020		dmToys		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
		IV	CSD	-	Bm		51 54 20-41 771-6	P353		Tr	15997.3	15997	153	17.09.2020		dmToys		Berlin Ost/Bhf - Bad Schandau - Praha stred - Stútovo - Budapest - Bucaresti Nord	
;Binneverkehr (Modernisierungswagen)
		IV	DR	-	Bge		51 50 29 13 026-3	P354		HN	4205.1			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	Bge		51 50 29 45 268-5	P355		HN	4205.2			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	Bgre		51 50 85 45 518-3	P356		HN	4205.3			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	Age		51 50 17 45 061-8	P357		HN	4204.1			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	ABge		51 50 38 45 048-6	P358		HN	4204.2			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	Dgse		51 50 95 40 220-8	P359		HN	4204.3			03.02.2017	19,9966666666667	dm-toys			
		IV	DR	-	Age		51 50 17 45 061-8	P360		HN	4204.1			17.05.2018	18,6666666666667	1zu160 Bernd Siebel			
		IV	DR	-	ABge		51 50 38 45 048-6	P361		HN	4204.2			17.05.2018	18,6666666666667	1zu160 Bernd Siebel			
x		IV	DR	-	Dgse		51 50 95 40 220-8	P362		HN	4204.3			17.05.2018	18,6666666666667	1zu160 Bernd Siebel			
;Binnenverkehr (Lowa)
		IV	DR	-	Bghqe		82-14 246-4	P363		HN	4183.1			14.02.2018	46,16	MSL			Steuerwagen, Kühn N025P, Adresse 29
		IV	DR	-	Bghue		29-14 314-4	P364		HN	4183.2			14.02.2018	33,3	MSL			
		IV	DR	-	Bghue		29-14 316-9	P365		HN	4192.1			14.02.2018	33,3033333333333	MSL			
		IV	DR	-	Bghue		29-14 319-3	P366		HN	4192.2			14.02.2018	33,3033333333333	MSL			
		IV	DR	-	Bghue		29-14 320-1	P367		HN	4192.3			14.02.2018	33,3033333333333	MSL			
		IV	DR	-	Bghqe		50 50 80 14 200-1	P368		HN	2275.1			09.01.2018	45	MBFn			Steuerwagen
		IV	DR	-	Bghue		50 50 29 40 025-6	P369		HN	2275.2			09.01.2018	35	MBFn			
		IV	DR	-	Bghue		50 50 49 14216-1	P370		HN	4182.1			19.01.2018	38,97	dm-toys			
		IV	DR	-	Bghue		50 50 49 14221-1	P371		HN	4182.2			19.01.2018	38,97	dm-toys			
		IV	DR	-	Bghue		50 50 49 14230-1	P372		HN	4182.3			19.01.2018	38,97	dm-toys			
;Binnenverkehr (ex Karwendel)
x	Bild	III	DR	-	Pw4ü		641-013	P373		Li	364558			09.08.2024	20	1zu160			
x	Bild	III	DR	-	A4ümp		241-015	P374		Li	364542			18.08.2021	15	ebay			ex Karwendel, 1 Trittstufe fehlt, Rückholfedern KKK fehlen
x	Bild	III	DR	-	A4ümp		241-015	P375		Li	364542			09.08.2024	20	1zu160			
x	Bild	III	DR	-	B4ümp		241-213	P376		Li	364543			09.08.2024	20	1zu160			
x	Bild	III	DR	-	B4ümp		241-215	P377		Li	364544			09.08.2024	20	1zu160			
;Binnenverkehr (ex Eilzugwagen 30er)
		IV	DR	-	Düe		51 50 92 43 359-5	P378		Tr	15761.4	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
		IV	DR	-	ABühe		57 50 38 14 652-9	P379		Tr	15761.1	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
		IV	DR	-	ABühe		57 50 38 14 652-9	P380		Tr	15761.1	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
		IV	DR	-	Bühe		57 50 28 14 526-7	P381		Tr	15761.2	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
		IV	DR	-	Bühe		57 50 28 14 526-7	P382		Tr	15761.2	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
		IV	DR	-	Bühe		57 50 28 14 531-4	P383		Tr	15761.3	15761		21.08.2023	15	1zu160		Leipzig - Dresden - Zittau	
x	Bild	III	DR	-	WLABüe		60 50 70 10 100-7	P384		Tr	13719.4	13719		21.08.2023	15	1zu160		München - Bln Ostbf	Hat der vielleicht KK zum Wechseln?
x		III	DR	-	WRüe		51 50 88 40 055-8	P385		Tr	13719.3	13719		21.08.2023	15	1zu160		München - Bln Ostbf	
;Doppelstockeinzelwagen (Anfang 70er)
		IV	DR	-	DBmqe		50 50 25-13 006-1	P386		Kü	91001		167	16.09.2015	24	Spielemax			
		IV	DR	-	DBmue		50 50 25-13 039-2	P387		Kü	91003		167	16.09.2015	24	Spielemax			
		IV	DR	-	DBmue		50 50 25-13 020-2	P388		Kü	91002		167	16.09.2015	24	Spielemax			
		IV	DR	-	DBmue		50 50 25-13 030-1	P389		Fl	6260042.1	6260042	167	30.11.2024	40,185	SMDV			
		IV	DR	-	DBmue		50 50 25-13 022-8	P390		Fl	6260042.2	6260042	167	30.11.2024	40,185	SMDV			
;Doppelstockeinzelwagen (Sputnikverkehr)
		IV	DR	-	DBmu			P391		Kü	91045		167	26.09.2017	36,83	besserepreise			
		IV	DR	-	DBmu			P392		Kü	91045		167	26.09.2017	36,83	besserepreise			
		IV	DR	-	DBmq			P393		Kü	91045		167	26.09.2017	36,83	besserepreise			
		IV	DR	-	DBmu			P394		Kü	91045		167	26.09.2017	31,87	besserepreise			
		IV	DR	-	DBmu			P395		Kü	91045		167	26.09.2017	31,87	besserepreise			
;Doppelstockzüge (DB7, D13)
		IV	DR	-	DBvx		50 50 26-25 467-0	P396		Tr	13389.1	13389	121	16.11.2012	34,41				
		IV	DR	-	DBvx		50 50 26-25 468-8	P397		Tr	13389.2	13389	121						
		IV	DR	-	DBvq		50 50 26-12 085-5	P398		Tr	13392.1	13392	121	18.10.2018	36,25				
		IV	DR	-	DBva		50 50 26-12 086-3	P399		Tr	13393.1	13392	104,5	18.10.2018	36,25				
		IV	DR	-	DBva		50 50 26-12 087-1	P400		Tr	13393.2	13392	104,5						
		IV	DR	-	DBvq		50 50 26-12 088-9	P401		Tr	13392.2	13392	121						
		IV	DR	-	DBvq			P402		HN	4472.1	4472		09.01.2025	45,975	MSL			
