z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		I	KPEV	-	ABCC 	Halle	02731	P41		Fl	8842	7894	124	26.04.2023	9,5	ebay		Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	ABCC 	Altona	2902	P42		Fl	781204	781204	124	18.03.2025	20,2	ebay		Von Berlin Anh Bhf über Halle Erfurt Würzburg Singen Stuttgart nach Zürich	Ohne Zierstreifen, mit 25€ bewertet
		I	KPEV	-	CC 	Halle	03303	P43		Fl	8843	7894	124	05.04.2023	14,945	ebay	?	Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	CC 	Halle	03303	P44		Fl	8843	7894	124	26.04.2023	9,5	ebay	?	Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	CC 	Halle	03303	P45		Fl	8843	7894	124	26.04.2023	9,5	ebay	?	Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	CC 	Halle	03303	P46		Fl	8843	7894	124	26.04.2023	9,5	ebay	?	Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	CC 	Altona	03011	P47		Fl	781204	781204	124	18.03.2025	20,2	ebay		Von Berlin Anh Bhf über Halle Erfurt Würzburg Singen Stuttgart nach Zürich	Ohne Zierstreifen, mit 25€ bewertet
		II	DRG	-	C4ü-pr08	Altona	18 041	P48		Fl	8083		124			Spitzner			
		II	DRG	-	C4ü-pr08	Altona	18 041	P49		Fl	8083		124						
		II	DRG	-	C4ü-pr08	Altona	18 041	P50		Fl	8083		124	27.07.2024	15,06	1zu160			
x		II	DRG	-	C4ü-pr08	Berlin	17 927	P51		Fl	858863	7912	124	24.03.2023	18	ebay		Berlin Ahb - Stuttgart	Geier
x		II	DRG	-	C4ü-pr08	Berlin		P52		Fl	858364	7912	124	24.03.2023	18	ebay		Berlin Ahb - Stuttgart	Geier
		I	DESG	-	WR 		792	P53		Fl	8841	7894	128	05.04.2023	14,945	ebay		Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
x	Bild 6achsig!	I	DESG	-	WR6		777	P54		Fl	868872	7913	128	14.12.2023	28	ebay			Mit 28€ bewertet, 6achsig
		II	Mitropa	-	WR4ü-pr11	Mitropa	798	P55		Fl	8081		128	26.04.2003	16,01	ebay			
x		II	Mitropa	-	WR4ü-pr11	Mitropa	798	P56		Fl	8081		128	27.07.2024	15,06	1zu160			
		II	Mitropa	-	WR4ü-pr11	Mitropa	707	P57		Fl	858862	7912	128	24.03.2023	18	ebay			
		I	KPEV	-	WL4ü pr01	Mitropa	2023	P58		Fl	868871	7913	128	14.12.2023	28	ebay		Sassnitz - Frankfurt - Basel	
		I	KPEV	-	WL4ü pr01	Mitropa	2023	P59		Fl	868871	7913	128	09.07.2025	29,1083333333333	ebay		Sassnitz - Frankfurt - Basel	
		I	KPEV	-	WL6ü pr06	Mitropa	2069	P60		Fl	868874	7913	128	09.07.2025	29,1083333333333	ebay		Sassnitz - Frankfurt - Basel	Ergänzungswagen Set 7913
		I	KPEV	-	WL6ü pr06	Mitropa	2069	P61		Fl	868874		128	22.06.2023	28	ebay		Sassnitz - Frankfurt - Basel	Ergänzungswagen Set 7913
		I	KPEV	-	WL6ü pr06	Mitropa	2067	P62		Fl	868873	7913	128	14.12.2023	28	ebay	?	Sassnitz - Frankfurt - Basel	Mit 28€ bewertet
		II	DRG	-	AB6ü-pr06	Altona	13 305	P63		Fl	8079		124	2014		ebay			
		II	DRG	-	ABC4ü-pr09	Altona	14 892	P64		Fl	8082		124			Spitzner			
		II	DRG	-	ABC4ü-pr09	Berlin	14 805	P65		Fl	858861	7912	124	24.03.2023	18	ebay		Berlin Ahb - Stuttgart	Geier
		II	DRG	-	ABC4ü-pr09	Berlin	14 805	P66		Fl	858861	7912	124	02.05.2020	8	1zu160		Berlin Ahb - Stuttgart	Geier
		II	DRG	-	ABC4ü-pr09	Berlin	14 805	P67		Fl	858861	7912	124	27.07.2024	15,06	1zu160		Berlin Ahb - Stuttgart	Geier
		II	Mitropa	-	WL4ü-pr01		20812	P68		Fl	858865		128	24.03.2023	18	ebay			
		II	Mitropa	-	WL4ü-pr01		20019	P69		Fl	8078		128			Spitzner			
