Bahnhof	lat	lon
Lochhausen	48,176188	11,408787
Lohhof	48,288105	11,581306
Loisnitz	49,244003	12,129378
Lomnitz	49,091293	14,729748
Loosdorf	48,199278	15,396309
Lorch (Rh)	50,040191	7,812953
Lorchhausen	50,053998	7,781153
Lübs (Bez Magdeburg)	52,020098	11,935573
Luckenwalde	52,052500	13,093700
Ludweishofen	48,761847	15,613289
Ludwigsburg	48,892035	9,185171
Ludwigsfelde	52,175400	13,160200
Ludwigshafen (Rh) Hbf	49,477968	8,433337
Ludwigshafen-Oggersheim	49,493218	8,381538
Ludwigsstadt	50,486538	11,382952
Lufthafen Rhein-Main	50,036525	8,605084
Luhe	49,580000	12,139077
Luhe-Wildenau	49,598668	12,126760
Lundenburg	48,754038	16,892166
Lustenau	47,450467	9,666553
Lützelsachsen	49,527214	8,649502
Magdeburg Hbf	52,075600	11,373700
Magdeburg-Neustadt	52,085700	11,383300
Mahlow	52,360925	13,407612
Maierhöfen	50,228650	12,831774
Mainz Hbf	50,001092	8,258693
Mainz Süd	49,993450	8,277383
Mainz-Kastel	50,006746	8,282919
Mainz-Weisenau	49,978936	8,310213
Maisach	48,214036	11,256180
Makranstädt	51,182400	12,132700
Malacky	48,432845	17,022457
Malsch	48,889044	8,322058
Malsfeld	51,096178	9,537249
Mangolding	48,948886	12,222290
Mannheim Fabrikstation	49,467692	8,488741
Mannheim Hbf	49,479655	8,469021
Mannheim Rbf	49,461095	8,511829
Mannheim-Friedr,feld Süd	49,438329	8,571739
Mannheim-Friedr.feld	49,448095	8,579721
Mannheim-Käfertal	49,501580	8,502216
Mannheim-Neckarau	49,455851	8,494663
Mannheim-Rheinau	49,424095	8,534746
Mannheim-Rheinau Hafen	49,433752	8,522987
Mannheim-Seckenheim	49,450997	8,537235
Mannheim-Waldhof	49,525988	8,482647
Marbach (Baden)	48,030920	8,469086
Marbach (Kr Fulda)	50,618539	9,733329
Marchtrenk	48,204770	14,105244
Maria Kulm	50,125589	12,519296
Maria Radschitz	50,525105	13,726044
Maria Thann	47,652958	9,868984
Marienbad	49,956742	12,694359
Marienbad Flugplatz	49,926279	12,712770
Mariendorf	52,447745	13,360748
Marienfelde	52,424093	13,374481
Marke	51,741247	12,256837
Markelfingen	47,739352	9,002609
Markersdorf a d Pielach	48,196875	15,497932
Markleeberg	51,279099	12,372494
Markleeberg-Großstädteln	51,262130	12,375412
Markt Lambach	48,095967	13,836765
Marktgölitz	50,549981	11,349049
Marktleuthen	50,129286	12,012863
Marktredwitz	50,004650	12,081699
Marlaschein	50,672639	13,878565
Marquardt	52,476664	12,967815
Martinlamitz	50,215017	11,950378
Marzling	48,408580	11,794853
Maubach	48,925827	9,419832
Mauerberg	48,166085	12,577629
Mauer-Oehling	48,096426	14,803391
Maulach	49,138597	9,994040
Mausheim	49,121186	11,766701
Mechterstedt-Settelstedt	50,946856	10,481129
Mecklar	50,922569	9,758005
Meerholz	50,189704	9,150496
Mehringen (Weilheim)	48,262513	10,988731
Meinsdorf	51,903136	12,255936
Meitingen	48,546387	10,847797
Melk	48,221585	15,348587
Mellrichstadt Bahnhof	50,424392	10,306613
Melsungen	51,126071	9,546046
Meltheuer	50,544799	12,038012
Menden (Rhld)	50,779892	7,149525
Merseburg	51,357097	11,989861
Mertingen Bahnhof	48,660582	10,824623
Mettenheim	49,739680	8,333731
Mezimosti-Veseli	49,193484	14,717045
Michelau (Oberfr)	50,154961	11,116147
Mies	49,741011	13,000774
Milikau	49,743341	12,940006
Miltitz (b Leipzig)	51,193100	12,151900
Mindelaltheim	48,455847	10,407572
Mingolsheim-Kronau	49,219559	8,646669
Mirskofen	48,599998	12,237568
Mittelgrund	50,837709	14,223003
Mittelrot	48,988385	9,740410
Mittelstetten	48,199507	10,784454
Mittweida	50,987585	12,959919
Möckmühl	49,321094	9,357948
Mödishofen	48,331833	10,651760
Mödritz	49,133992	16,605663
Möhren	48,934355	10,875585
Möhringen (Baden)	47,957830	8,769321
Moosburg	48,470304	11,930809
Moosham	48,923627	12,267437
Morawan	50,002885	15,945797
Morellstraße	48,355222	10,892258
Mosern	50,678241	14,127431
Mosigkau	51,815407	12,148991
Muggensturm	48,876796	8,274164
Mühldorf (Oberbay)	48,248283	12,519436
Mühldorf-Ehring	48,236565	12,559433
Mühlfeld	50,444224	10,351567
Mühlhausen	50,263065	14,302568
Mühlhausen (b Engen)	47,814192	8,804770
Mühlheim (Main)	50,119285	8,837385
Mühlstetten	49,152296	11,008129
Muldenstein	51,667924	12,353783
Müllheim (Baden)	47,809927	7,599530
München Hbf	48,082700	11,332800
München-Allach	48,190066	11,467667
München-Fasanerie	48,197118	11,524723
München-Feldmoching	48,214493	11,541395
München-Moosach	48,180223	11,505775
München-Pasing	48,149882	11,461272
Mündling	48,794765	10,761881
Münnerstadt	50,249949	10,188446
Murg (Baden)	47,553476	8,018646
Murrhardt	48,983540	9,577761
Nabburg	49,446533	12,180018
Nackenheim	49,919122	8,341885
Nannhofen	48,216667	11,174297
Nauen	52,612430	12,884560
Naumburg (S) Hbf	51,094500	11,474400
Nebanitz	50,117496	12,478452
Nebringen	48,559909	8,849874
Neckarhausen (b Horb)	48,398522	8,646197
Neckarsulm	49,189221	9,219933
Nellmersbach	48,902756	9,415112
Nersingen	48,429998	10,118151
Nestersitz	50,669837	14,140735
Nestomitz	50,672720	14,106874
Netzschkau	50,611445	12,244091
Neu Aigen-Stetteldorf	48,380141	16,026821
Neu Ulm	48,393536	10,005541
Neuburxdorf	51,280400	13,173700
Neucoswig	51,075500	13,352800
Neudau	50,280345	12,937603
Neudenau	49,288523	9,271002
Neudietendorf	50,914507	10,910969
Neudingen	47,913811	8,570538
Neufahrn (b Freising)	48,321332	11,660271
Neufahrn (Niederbay)	48,729870	12,190704
Neufra (b Rottweil)	48,126484	8,671474
Neuhaus	48,111443	8,695335
Neuhausen Reichsb	47,682465	8,612595
Neuhof (b Mies)	49,761974	13,061543
Neuhof (Kr Fulda)	50,454881	9,620247
Neuhof (Kr Teltow)	52,082500	13,284500
Neu-Isenburg	50,053006	8,665552
Neukieritzsch	51,151463	12,412319
Neukirchen (Kr Hünfeld)	50,770774	9,692602
Neukirchen b Lambach	48,091840	13,820801
Neukirchen-Gampern	48,017143	13,565025
Neulußheim	49,292329	8,529940
Neumark (Sachs)	50,662955	12,355542
Neumarkt (Oberpf)	49,273181	11,456509
Neumarkt a d Y - Karlsbach	48,143411	15,055561
Neumarkt-Kallham	48,271140	13,722439
Neumarkt-Köstendorf	47,951075	13,216553
Neumarkt-St Veit	48,361382	12,503128
Neunhofen	50,724449	11,714430
Neunkirch	47,689746	8,494878
Neuoffingen	48,485382	10,349379
Neusattl	50,214207	12,745857
Neuses (b Kronach)	50,217008	11,306605
Neustadt (Orla)	50,734717	11,757517
Neustadt (Waldnaab)	49,716156	12,164569
Neustadt (Württ)	48,859689	9,325590
Neuwied	50,431268	7,473278
Neuwiederitzsch	51,240200	12,231500
Niederau	51,103400	13,333800
Niederdollendorf	50,695044	7,180853
Niedergörsdorf	51,582000	12,582700
Niedergrund (Elbe)	50,846164	14,214764
Niederlahnstein	50,316860	7,599449
Niederlauer	50,274256	10,184712
Niedermittlau	50,178630	9,109211
Niederpöllnitz	50,767245	11,958532
Niederrodenbach	50,147289	9,012523
Niederschopfheim	48,415915	7,886531
Niedertrebra	51,064378	11,579247
Niederwalluf	50,037021	8,159000
Niederwasser	48,189780	8,230820
Nierstein	49,871849	8,342829
Nordendorf	48,593186	10,836811
Nordheim (Württ)	49,109557	9,148607
Nörfelden	49,979074	8,565259
Norsingen	47,939289	7,725878
Nufringen	48,620371	8,889313
Nürnberg Hbf	49,445110	11,082716
Nürnberg-Doos	49,460649	11,017485
Nürnberg-Dutzendteich	49,437101	11,117306
Nürnberg-Eibach	49,409968	11,047440
Nürnberg-Neusündersbühl	49,449797	11,044135
Nürnberg-Reichelsdorf	49,381926	11,038857
Nürnberg-Rothenburgerstr.	49,445612	11,055422
Nürnberg-Sandreuth	49,431073	11,054306
Nürnberg-Schweinau	49,434478	11,044950
Nürnberg-Stein	49,425490	11,018171
Nußbach	48,133731	8,258457
Ober Gerspitz	49,167956	16,606264
Ober Pocap	50,422409	14,386082
Oberasbach	49,416781	10,985384
Oberdorf (b Immenstadt)	47,629248	10,273848
Obereichstätt	48,887746	11,132069
Oberferrieden	49,331163	11,333427
Oberhaun	50,825159	9,726291
Oberhof (Thür)	50,684169	10,709438
Oberhofen-Zell a Moos	47,958893	13,301697
Oberkassel (Siegkreis)	50,715645	7,158194
Oberkotzau	50,266713	11,932011
Oberlahnstein	50,299840	7,604213
Oberlangenstadt	50,189415	11,256094
Oberlauchringen	47,629450	8,320470
Oberlichtenau	50,907904	12,959018
Oberndorf (Neckar)	48,296299	8,575773
Oberreitnau	47,593662	9,684277
Oberstaufen	47,554403	10,025067
Oberstdorf	47,411013	10,277710
Oberstimm	48,710674	11,450500
Oberstreu	50,405099	10,286658
Obersuhl	50,950560	10,026923
Obertrattnach	48,246454	13,766556
Obertraubling	48,967146	12,170105
Obervogelgesang (Sächs Schweiz)	50,949884	13,989630
Oberwerrn	50,070858	10,152569
Ochenbruck	49,362924	11,252747
Oehna	51,555600	13,035500
Oelsnitz (Vogtl)	50,413057	12,160299
Oestrich-Winkel	50,003022	8,018517
Offenbach (M) Hbf	50,099248	8,760631
Offenburg	48,476506	7,946463
Offingen	48,482196	10,375214
Oftering	48,217124	14,128418
Oftersheim	49,373655	8,579035
Ohlsbach	48,424815	7,985516
Olbramovice	49,666906	14,624004
Olching	48,210375	11,333942
Oleschko	50,477390	14,193821
Önsbach	48,608824	8,026972
Opfenbach	47,636131	9,848900
Oppenheim	49,857575	8,358021
Oppurg	50,705917	11,649971
Oranienburg	52,754373	13,249512
Orlamünde	50,775333	11,543283
Orschweier	48,273711	7,789736
Ortenberg (Baden)	48,446340	7,965775
Oschelin	49,785919	12,845592
Oßmannstedt	51,018830	11,424408
Osterburken	49,429901	9,422665
Osterhofen (Niederbay)	48,695606	13,018970
Osternienburg	51,783560	12,029686
Osterspai	50,245037	7,614985
Osthofen	49,705444	8,325920
Ostrau	51,200000	13,165827
Ottendorf (b Mittweida)	50,936364	12,952666
Ottendorf (Kocher)	49,029483	9,753799
Ottersweier	48,673251	8,106730
Otting-Weilheim	48,880409	10,818336
Paindorf	48,443038	11,487665
Papestraße	52,475723	13,365469
Pappenheim	48,927011	10,962982
Pardubitz	50,032004	15,756626
Parsberg	49,164084	11,722927
Paschling	48,256798	14,207726
Passau Hbf	48,573881	13,450356
Pausram	48,941445	16,630383
Pecek	50,089750	15,026894
Pegau	51,166051	12,241087
Petershausen (Oberbay)	48,413707	11,470242
Peterzell-Königsfeld	48,130065	8,373985
Pfaffenhofen (Ilm)	48,523142	11,512041
Pfohren	47,933942	8,545990
Pforzen	47,933482	10,629272
Pfreimd	49,485859	12,167401
Piding	47,759522	12,911339
Piesteritz	51,874053	12,575226
Piewana	49,789022	13,090553
Pilsen	49,743341	13,387957
Pilsen Reichsvorstadt	49,740346	13,366928
Pirk	50,427003	12,078309
Pirna	50,962806	13,928990
Plan (b Marienbad)	49,861005	12,730150
Plana a d Luschnitz	49,353868	14,706230
Plattling	48,780175	12,863960
Plaue (Thür)	50,778861	10,909424
Plauen (Vogtl) ob Bf	50,505894	12,129464
Plauen (Vogtl) West	50,493856	12,112834
Pleinfeld	49,106467	10,977058
Pleinting	48,658655	13,118877
Plohling	48,236965	14,397411
Pöchlarn	48,207973	15,217609
Pölling	49,288635	11,412735
Pömmerle	50,670979	14,157386
Pöndorf	47,991415	13,349590
Ponholz	49,172852	12,095304
Ponitz	50,858735	12,416430
Poppenhausen	50,099992	10,138407
Poppitz	48,923853	16,668148
Porican	50,111112	14,922695
Porstendorf	50,977075	11,645594
Porz-Urbach	50,883055	7,064466
Pößneck ob Bf	50,690259	11,588001
Postbauer	49,309232	11,358318
Prag Mas Bf	50,087988	14,433117
Prag Wils Bf	50,083045	14,435885
Praskowitz (Elbe)	50,572717	14,036365
Pratau	51,843069	12,635350
Prelauc	50,039502	15,573978
Preschen	50,601599	13,771362
Preßburg	48,093100	17,062400
Pressig-Rothenkirchen	50,349130	11,310854
Priesterweg	52,459304	13,356028
Priestewitz	51,150400	13,302800
Prinzersdorf	48,200994	15,514755
Priort	52,516952	12,971420
Probstzella	50,528106	11,383295
Prödel	52,037340	11,913643
Profen	51,130623	12,210617
Prösen	51,434962	13,486919
Prösen-Wainsdorf	51,254700	13,301000
Puchberg (b Wels)	48,186232	14,001389
Puchheim	48,172210	11,352825
Pulling (b Freising)	48,362865	11,704559
Pürbach-Schrems	48,763205	15,087833
Pürstein	50,367584	13,113041
Pyret	48,544342	13,444691
Rackwitz (b Leipzig)	51,262400	12,223000
Radebeul	51,055500	13,404300
Radebeul-Kötzschenbroda	51,062800	13,373900
Radis	51,754718	12,504244
Radiumbad Brambach	50,217392	12,312241
Radldorf	48,874538	12,442532
Radolfzell	47,735167	8,968620
Raguhn	51,710890	12,269583
Raigern	49,085335	16,605148
Raitersaich	49,375667	10,844364
Raitz	49,408879	16,627293
Rangsdorf	52,294150	13,430443
Rangstock	50,687649	14,187341
Rastatt	48,860819	8,215714
Ratholz	47,566450	10,138021
Raudnitz	50,426675	14,263344
Raun	50,260129	12,293240
Ravelsbach	48,555819	15,885887
Redl-Zipf	48,026328	13,511124
Rednitzhembach	49,303524	11,064091
Redwitz (Rodach)	50,168817	11,207256
Regendorf	49,098599	12,119851
Regensburg Hbf	49,011697	12,099380
Regensburg Walhallastr	49,032888	12,133112
Regensburg Wutzlhofen	49,047503	12,131889
Regensburg-Prüfening	49,012203	12,048397
Regenstauf	49,122141	12,125216
Regis-Breitingen	51,082930	12,426052
Rehdorf	49,411574	10,953562
Rehlings	47,581852	9,715862
Reichelsdorfer Keller	49,368290	11,040058
Reichenau (Baden)	47,689226	9,126205
Reichenbach (Vogtl) ob Bf	50,374000	12,174200
Reichenberg (b Würzburg)	49,732302	9,913445
Reichenberg (Murr)	48,989455	9,469528
Reichertshausen (Ilm)	48,471100	11,510067
Reichertshofen (Oberbay)	48,668292	11,462517
Renchen	48,592278	8,006587
Rengershausen	51,255013	9,468756
Rentwertshausen	50,454881	10,431390
Reuden (Kr Zeitz)	51,108696	12,186756
Reuth (b Erbendorf)	49,840639	12,117941
Reuth b Plauen (Vogtl)	50,476653	11,957502
Rheinbrohl	50,489405	7,333117
Rheinfelden (Baden)	47,557067	7,783470
Rheinweiler	47,709646	7,530956
Rhöndorf	50,659092	7,208748
Ricany	49,997478	14,663315
Riedau	48,305492	13,626866
Riedenburg	47,493777	9,720454
Riegel Reichsb	48,152115	7,770596
Riesa	51,309584	13,287106
Rietheim (Württ)	48,038524	8,781896
Ringsheim	48,248397	7,772398
Ritschenhausen	50,514000	10,428987
Röderau	51,195200	13,190400
Rohr (Thür)	50,572336	10,519924
Rohrbach	49,033535	16,591501
Röhrenfurth	51,154478	9,548192
Röhrmoos	48,333887	11,444750
Roigheim	49,360800	9,341555
Roitzsch (Kr Bitterfeld)	51,571308	12,264175
Rokitzan	49,740457	13,591976
Ronshausen	50,945666	9,855337
Rosenburg (Baden)	49,458139	9,472618
Röslau	50,078336	11,987736
Roßtal	49,400697	10,898523
Roßtal Wegbrücke	49,394720	10,884962
Rostok	50,159745	14,397755
Rotenburg (Fulda)	50,997714	9,733629
Roth	49,241811	11,082630
Röthenbach (Allgäu)	47,620628	9,953270
Rothenstadt	49,629338	12,136631
Rothenstein (Saale)	50,850228	11,608257
Roth-Malsch	49,243436	8,652334
Rottendorf	49,791959	10,029144
Rottershausen	50,166288	10,166473
Rottweil	48,165227	8,639331
Rückersdorf-Oppelhain	51,341100	13,342900
Rückmarsdorf	51,202800	12,165100
Ruderatshofen	47,822376	10,589619
Rüdesheim (Rh)	49,976866	7,915306
Rudolstadt (Thür)	50,717711	11,337719
Ruppertsgrün	50,575293	12,177486
Saalfeld (Saale)	50,651120	11,374884
Sachsen (b  Ansbach)	49,292945	10,661116
Sachsenflur	49,526267	9,706335
Säckingen	47,555561	7,948608
Saitz	48,889552	16,782818
Salesel	50,596873	14,048638
Salmünster-Bad Soden	50,280674	9,372025
Salzburg Hbf	47,813500	13,046007
Sandau	50,011435	12,540293
Sandbach (Niederbay)	48,606582	13,269768
Sandtorf	49,563552	8,482132
Satzkorn	52,476664	12,967815
Säusenstein	48,192183	15,114269
Saxdorf	51,300600	13,164900
Schaffhausen Reichsb	47,698412	8,632808
Schalding	48,596819	13,367958
Schallstadt	47,956134	7,753773
Schanz	49,977059	12,664919
Schärding	48,462905	13,442802
Schichauweg	52,398753	13,389158
Schkopau	51,389030	11,991577
Schlachters	47,589841	9,747105
Schlackenwerth	50,301896	12,957258
Schlackenwerth Stadt	50,298935	12,940779
Schleißheim	48,274282	11,568947
Schleißweiler	48,992102	9,536133
Schliengen	47,761484	7,568808
Schlüchtern	50,341160	9,509954
Schlüßlberg	48,222900	13,872342
Schmilka-Hirschmühle	50,890798	14,227467
Schnelldorf	49,193961	10,177503
Schöba	50,050801	12,409830
Schöna-Herrnskretschen	50,875311	14,234676
Schönau	50,944152	10,431347
Schönberg (b Bad Brambach)	50,190535	12,326387
Schönberg (b Offenburg)	48,364119	8,030577
Schönberg (Vogtl)	50,528161	11,960764
Schönfeld	50,633240	13,987827
Schöngeising	48,147534	11,192579
Schönpriesen	50,666832	14,099236
Schutterwald Reichsb	48,456730	7,916722
Schwäb Hall-Hessental	49,096351	9,766159
Schwabach	49,326129	11,034565
Schwabhausen (b Landsberg)	48,102846	10,978861
Schwabmünchen	48,178449	10,766430
Schwaikheim	48,868385	9,354773
Schwandorf	49,326241	12,104101
Schwanenstadt	48,053988	13,765869
Schwarza (Saale)	50,689117	11,327934
Schwarzenau (Waldv)	48,746002	15,266018
Schwarzenfeld	49,392821	12,130108
Schweigern (Baden)	49,491713	9,663162
Schweikershain	51,036510	12,954082
Schweinfurt Hbf	50,035367	10,213165
Schweinsburg-Culten	50,786730	12,369232
Schweißing-Tschernoschin	49,763415	12,910309
Schwetzingen	49,383490	8,578348
Schwielowsee	52,340898	12,980003
Schwörstadt	47,590189	7,866898
Seebergen	50,928899	10,793552
Seehausen	51,270669	13,241444
Seekirchen-Mattsee	47,893327	13,120079
Seestadtl	50,515883	13,547430
Seestetten	48,606128	13,301353
Seifen (Schwaben)	47,596730	10,253763
Seligenstadt (b Wü)	49,854199	10,102015
Selz	50,131693	14,394321
Sennfeld	49,378685	9,380264
Settenz	50,642331	13,800631
Seubersdorf	49,168685	11,626968
Siegmundsherberg	48,684274	15,749245
Siglingen	49,297311	9,304991
Singen (Hohentwiel)	47,759060	8,840647
Sinzheim (b Bühl)	48,760376	8,158550
Skalitz-Boskowitz	49,480505	16,609526
Smichow	50,062263	14,408741
Sobleslau	49,255818	14,725456
Sollslau	49,762417	13,041458
Solnhofen	48,892374	10,994225
Solvayhall	51,773257	11,768246
Sommerau (Schwarzwald)	48,129234	8,302617
Sonthofen	47,513085	10,272388
Spaichingen	48,069018	8,740182
Spich	50,827030	7,114677
St Andrä-Wördern	48,333887	16,208954
St Ilgen (Sandhausen)	49,340923	8,668685
St Johann-Weistrach	48,077448	14,610443
St Margarethen	47,453166	9,638186
St Peter-Seitenstetten	48,053185	14,655418
St Pölten Hbf	48,208373	15,622644
St Valentin	48,176274	14,523411
St, Georgen (Schwarzwald)	48,123877	8,342142
St, Goarshausen	50,155841	7,714591
Stabnitz	50,049423	12,441502
Stadt Haag	48,126398	14,565725
Stadt Wehlen (Sachs)	50,953858	14,032116
Staffelstein	50,108800	10,995255
Stauchitz	51,242844	13,211746
Steina	51,103104	13,022017
Steinach (Baden)	48,298897	8,056412
Steinau (Kr Fulda)	50,591622	9,732707
Steinau (Kr Schlüchtern)	50,314339	9,443135
Steinbach (b Backnang)	48,958017	9,465752
Steinbach (Baden)	48,733550	8,146105
Steinbach a Wald	50,441463	11,382823
Steindorf	47,964411	13,234406
Steinheim (Main)	50,121514	8,906865
Steinrain	48,766995	12,194481
Stephansposching	48,809238	12,790661
Stockheim (Oberfr)	50,307295	11,282101
Stockstadt (Rhein)	49,809465	8,472519
Strancice	49,949397	14,676876
Straning	48,611008	15,856705
Straßkirchen	48,833312	12,720966
Straßwaichen	47,974640	13,254662
Straubing	48,876571	12,574711
Strullendorf	49,845289	10,961866
Stuttgart Hbf	48,784077	9,181480
Stuttgart Nord	48,803302	9,189034
Stuttgart West	48,769937	9,142942
Stuttgart Wildpark	48,757886	9,124918
Stuttgart-Bad Cannstadt	48,801550	9,217358
Stuttgart-Feuerbach	48,813731	9,168992
Stuttgart-Hesslach	48,761027	9,141097
Stuttgart-Zuffenhausen	48,829498	9,166675
Suchenthal	48,892825	14,878750
Südende	52,448268	13,353882
Sudomerice-Nemysl	49,508603	14,661255
Suhl	50,604922	10,682144
Suhl-Heinrichswerk	50,600455	10,646760
Sulz (Neckar)	48,367198	8,637486
Sulzbach (Murr)	48,999423	9,500256
Sulzdorf	49,100454	9,833364
Sülzenbrücken	50,885655	10,896463
Sünching	48,884021	12,356701
Surheim	47,869495	12,948761
Syrau	50,546217	12,084703
Tabor	49,413989	14,676704
Taimering	48,912459	12,310009
Talhausen	48,220127	8,599977
Talhausen-Herrenzimmern	48,223844	8,598776
Tamm (Württ)	48,921540	9,125519
Tannenbach	47,509172	9,752040
Tauberfeld	48,818733	11,274891
Taufkirchen (Pram)	48,406785	13,522496
Teltow	52,231700	13,175900
Teplitz-Schönau	50,646358	13,829470
Thalhofen	47,474229	10,277452
Thalkirchdorf	47,557762	10,088539
Thalmühle (Baden)	47,886536	8,812494
Thayngen	47,745470	8,703318
Theresienstadt	50,491590	14,149189
Thyrow	52,144800	13,153500
Tiefenbrunnen	52,034007	12,945070
Tiefental (Wagram)	48,437401	15,983562
Tiengen (Oberrhein)	47,635090	8,270302
Timelkam	48,005429	13,606052
Tirschnitz	50,114043	12,399552
Topkowitz-Kartitz	50,715836	14,191675
Tornau	51,898794	12,213235
Traun	50,734663	11,818457
Trebanz-Treben	51,046574	12,440472
Trebbin (Kr Teltow)	52,125900	13,134600
Treuchtlingen	48,961229	10,908093
Treuenbrietzen Landesanstalt	52,082684	12,879517
Treuenbrietzen Reichsb	52,092058	12,856708
Triberg	48,139974	8,236828
Triebschitz	50,523250	13,579531
Triptis	50,741289	11,871672
Troisdorf	50,814016	7,149696
Tschausch	50,526906	13,626223
Tülln	48,327039	16,065788
Tunsel	47,901240	7,671483
Türkenfeld	48,105081	11,076794
Türmitz	50,647120	13,986883
Turn-Probstau	50,661486	13,838310
Tuschkau-Kosulup	49,762528	13,244877
Tüßling	48,212663	12,588272
Tuttlingen	47,980529	8,798633
Tyrlaching	48,081749	12,695904
Ubstadt-Weiher	49,167170	8,622894
Uckro (Reichsb)	51,510400	13,363200
Udwitz	50,485801	13,447523
Uhersko	49,987490	16,014719
Uhlstädt	50,742321	11,460714
Uiffingen	49,503810	9,597759
Ullersdorf	50,639936	13,763466
Ullitz-Pleschnitz	49,785587	13,129692
Ulm Hbf	48,399349	9,982324
Undorf	49,027401	11,938190
Unkel	50,598766	7,221193
Unsleben	50,382445	10,255136
Unter Berkowitz	50,388821	14,436378
Unter Kritzendorf	48,332688	16,301136
Unterasbach	49,416781	10,985384
Unterfahlheim	48,434041	10,160637
Untergriesheim	49,265172	9,222679
Untergrombach	49,087639	8,547707
Unterheckenhofen	49,213672	11,056194
Unterloquitz	50,581002	11,390419
Unterschüpf	49,514176	9,691658
Unterwellenborn	50,658711	11,433935
Unterwinden	48,137339	14,542379
Vach	49,516572	10,985770
Vaihingen (Filder)	48,725737	9,111013
Vaihingen-Rohr	48,719055	9,107494
Vallendar	50,399792	7,610135
Vellberg	49,100285	9,881172
Vieselbach	50,992852	11,137648
Villingen (Schwarzwald)	48,057775	8,465309
Vilsbiburg	48,447365	12,347345
Vilshofen (Niederbay)	48,629845	13,189945
Vitis	48,753925	15,178127
Vochov	49,759423	13,276806
Vöcklabrunn	48,010253	13,664246
Vöcklamarkt (Reichsb)	47,998882	13,490696
Voitersreuth	50,167938	12,326832
Wächtersb (Borb)	50,253955	9,295764
Waghäusel	49,248030	8,508053
Wahlitz	52,109352	11,788759
Wahn (Rhld)	50,858302	7,079058
Waiblingen	48,826192	9,299841
Waigolshausen	49,967123	10,115232
Walddrehna	51,462600	13,370300
Waldheim	51,074626	13,014250
Waldshut	47,623608	8,209276
Waldshut Fahrhaus	47,621207	8,220348
Walheim (Württ)	49,011246	9,152126
Walkersbach	48,570871	11,547918
Walldorf	49,319360	8,667440
Walldorf (Hess)	50,001340	8,580794
Wallersee	47,917723	13,158188
Wallwitzhafen	51,861837	12,234875
Walpertshofen	48,290560	11,455908
Waltenhofen	47,667526	10,306034
Wandersleben	50,905414	10,853634
Wanow	50,624256	14,058187
Wappoltenreith	48,749964	15,560589
Wartha	51,005546	10,199604
Wehringen	48,243082	10,818958
Weida	50,784830	12,061186
Weiden (Oberpf)	49,670516	12,153625
Weil (Rhein)	47,594646	7,608290
Weilheim (b Tuttlingen)	48,025639	8,776145
Weimar Reichsb	50,592900	11,193300
Weinböhla	51,100300	13,341300
Weingarten (Baden)	49,058795	8,520756
Weinheim (Bergstr)	49,553280	8,665295
Weischlitz	50,448979	12,059727
Weißenburg (Bay)	49,029877	10,964870
Weißenfels	51,204894	11,970806
Weißig (b Großenhain)	51,171600	13,251600
Wellm	50,067993	15,124569
Wels Hbf	48,166257	14,026800
Welschingen-Neuhausen	47,834131	8,768892
Weltrus	50,318833	14,346428
Weng	47,937047	13,175697
Werdau	50,725916	12,366314
Werdau Nord	50,743299	12,371635
Wernberg	49,539302	12,145643
Wernstein	48,504919	13,456192
Westendorf	48,571950	10,842991
Westerringen	48,134475	10,738449
Westheim (Schwab)	48,386126	10,818615
Wetterzeube	51,008408	12,012691
Wicklesgreuth	49,310407	10,710382
Wickwitz	50,307323	13,016567
Wien Fr Jos Bf	48,225645	16,361690
Wien Heiligenstadt	48,247883	16,364994
Wien Nußdorf	48,258856	16,368256
Wien Westbf	48,114900	16,201200
Wiesau (Oberpf)	49,910943	12,191133
Wiesbaden Hbf	50,070638	8,243523
Wiesbaden Ost	50,041293	8,256569
Wiesbaden-Biebrich	50,048762	8,236828
Wiesbaden-Schierstein	50,047577	8,194513
Wiesental	49,226006	8,502216
Wiesloch-Walldorf	49,290986	8,664007
Wiesmühl (b Tittmoning)	48,023917	12,745171
Wilchingen-Hallau	47,679547	8,463979
Wildenschwert	49,971650	16,377525
Wildenschwert Stadt	49,968668	16,395121
Wildpark	52,394197	13,014164
Wildpoldsrieth	47,766792	10,397701
Wilhelmsglück	49,062844	9,752083
Wilsdorf	50,747291	14,180732
Windischeschenbach	49,798068	12,162015
Windschläg	48,516185	7,965496
Winkl	47,665503	12,950134
Winnenden	48,879506	9,392366
Wirtheim	50,225767	9,258986
Wittenberg (Prov Sachs)	51,520400	12,394300
Wittenberg Elbtor	51,863984	12,641573
Wittighausen	49,618607	9,846497
Wittingau	49,015356	14,759960
Wittingau Stadt	49,007249	14,776955
Wixhausen	49,930837	8,648472
Wohmbrechts	47,655675	9,852505
Wolfen (Kr Bitterfeld)	51,661003	12,279196
Wolfgang (Kr Hanau)	50,123330	8,957033
Wolfsgefärth	50,816782	12,073803
Wolnzach Bahnhof	48,607490	11,572552
Woltersdorf (b Luckenwalde)	52,070000	13,114000
Wommen	51,012486	10,120811
Worms	49,634786	8,356218
Worms Brücke	49,650070	8,369694
Wotic Stadt	49,639455	14,620314
Wotsch	50,359371	13,081455
Wranan	50,335491	14,372005
Wrschowitz	50,064908	14,447536
Wülknitz	51,369101	13,389244
Wünsdorf (Kr Teltow)	52,095600	13,280500
Wurmlingen	48,015879	8,774214
