Bahnhof	lat	lon
Buchholz (Zauche)	52,167878	12,922969
Buchloe	48,033101	10,715790
Buckower Chaussee	52,410587	13,382721
Buggingen	47,854926	7,627945
Bühl (Baden)	48,696229	8,128595
Bülzig	51,534200	12,451000
Burgau (Schwab)	48,424929	10,426798
Burghaun (Kr Hünfeld)	50,700644	9,727707
Burgkemnitz	51,688840	12,407341
Burgthann	49,342684	11,307850
Burgweinting	48,990581	12,146072
Burlafingen	48,398437	10,025196
Bürstadt	49,645902	8,458400
Butterheim	49,799661	11,013536
Camburg (Saale)	51,050837	11,704388
Caputh-Geltow	52,350231	12,984295
Cercany	49,851543	14,702024
Chemnitz Hbf	50,839281	12,931080
Chemnitz Kinderwaldstätte	50,884436	12,953782
Chlum b Wittingau	48,950803	14,866734
Chodau	50,231889	12,753325
Chotowin	49,472586	14,668293
Chotzen	49,994057	16,223202
Chrast b P	49,792125	13,489666
Citow	50,366051	14,417667
Clarsbach	49,386060	10,848742
Coswig (Anh)	51,888147	12,457466
Coswig (Bz Dresden)	51,072200	13,344400
Crailsheim	49,137867	10,064249
Crimmitschau	50,815155	12,392578
Dabendorf	52,236946	13,436966
Dachau Bahnhof	48,254856	11,444149
Dahlewitz	52,326737	13,419542
Dallwitz	50,254998	12,886448
Darmstadt Hbf	49,872623	8,629160
Darmstadt Süd	49,855195	8,636112
Darmstadt-Arheiligen	49,913375	8,645210
Darmstadt-Eberstadt	49,814118	8,625727
Daschitz-Kostenitz	50,012869	15,897474
Deining (Oberpf)	49,204925	11,513672
Delitzsch Berl Bf	51,312800	12,204400
Denzlingen	48,068788	7,881489
Dessau Hbf	51,839874	12,234972
Dessau-Alten	51,825699	12,194138
Dessau-Roßlau	51,884650	12,237310
Dessau-Süd	51,802193	12,236495
Dettingen (Hohenzollern)	48,414476	8,637314
Deuerling	49,041469	11,914501
Deutsch Kralup	50,441709	13,331566
Deutzen	51,114084	12,418842
Diedorf (Schwaben)	48,355108	10,775013
Dietzhausen	50,599529	10,596528
Dinkelscherben	48,342673	10,587044
Döbeln Hbf	51,126852	13,094759
Döbeln Nord	51,134272	13,100821
Doberlug-Kirchhain	51,371400	13,334900
Dobrin	50,437172	14,295959
Dogern	47,608941	8,167133
Dollnstein	48,871603	11,079369
Dombühl	49,252260	10,298352
Donaueschingen	47,949006	8,498268
Donauwörth	48,713732	10,771065
Dornburg (Saale)	51,008408	11,674862
Dornheim	49,877574	8,493547
Dörrberg	50,733848	10,796900
Drahnsdorf	51,545000	13,345000
Dresden Hbf	51,022400	13,440100
Dresden Wettinerstraße	51,032100	13,432500
Dresden-Neustadt	51,035600	13,442600
Duttenberg-Obergriesheim	49,251896	9,212723
Dux	50,617232	13,754110
Ebelsberg (Reichsb)	48,250969	14,353380
Ebenhausen (Mainfr)	50,131253	10,137892
Ebensfeld	50,068269	10,954485
Ebing	50,001671	10,913758
Eching	48,302494	11,615639
Echsenbach	48,731172	15,226364
Eckartshausen-Ilshofen	49,152071	9,936361
Eddersheim	50,039392	8,456211
Ederbauer	47,983717	13,322296
Efringen-Kirchen	47,655791	7,563486
Egelsbach	49,968889	8,653278
Eger	50,073723	12,380047
Eggenburg	48,637900	15,815334
Egglkofen	48,395872	12,445707
Eggmühl	48,766995	12,194481
Eggolsheim	49,775084	11,036539
Ehningen (b Böblingen)	48,662680	8,943987
Ehrenbreitstein	50,361725	7,610092
Eichenau	48,179193	11,328106
Eichicht (Saale)	50,609933	11,434107
Eichstätt Bahnhof	48,869909	11,163483
Eimeldingen	47,627252	7,596273
Eisenach	50,977156	10,331783
Eisenach West	50,979169	10,309575
Elbetelnitz-Zabor	50,031673	15,478535
Ellingen (Bay)	49,066331	10,959549
Ellrichshausen	49,175812	10,140274
Elsholz	52,203425	12,954683
Elsnigk (Anh)	51,790568	12,058010
Elsterwerda	51,273500	13,305900
Elsterwerda-Biehla	51,471974	13,518505
Eltensheim	48,816246	11,318150
Eltersdorf	49,553475	10,996585
Eltville	50,027621	8,121600
Emmendingen	48,119064	7,847757
Engen	47,856366	8,771725
Engers	50,426183	7,546449
Enns	48,221242	14,465218
Ennsdorf	48,212892	14,500408
Epfendorf	48,250598	8,599248
Epfenhausen	48,094477	10,907707
Erbach (Rheingau)	50,023485	8,095036
Erdweis	48,811838	14,922352
Erfurt	50,582000	11,021700
Ergenzingen	48,490160	8,810306
Ergolding	48,572973	12,171993
Ergoldsbach	48,694246	12,201777
Erlangen	49,595914	11,001906
Erlangen-Bruck	49,570622	10,997400
Erlau (Sachs)	51,008976	12,942967
Erpel	50,582692	7,242136
Erzhausen	49,950999	8,650618
Erzingen (Baden)	47,659491	8,429904
Eßleben	49,943211	10,084848
Esterhofen	48,361097	11,445007
Etterzhausen	49,030778	11,977844
Ettlingen Reichsb	48,946575	8,387632
Eubigheim	49,501970	9,538193
Eugendorf	47,874677	13,118019
Eutingen (Württ)	48,480062	8,782840
Eythra	51,229355	12,264433
Fahr-Irlich	50,445426	7,417402
Falkenau (Eger)	50,185802	12,644663
Falkenberg (Elster)	51,351000	13,144700
Feilitzsch	50,364682	11,934586
Fellbach	48,820259	9,268856
Ferch-Lienewitz	52,303650	12,963696
Feucht	49,383602	11,203823
Fichtenberg	48,987089	9,700584
Fischbach (b Nürnberg)	49,413095	11,173954
Fischen	47,456648	10,271702
Fischingen	48,391256	8,668342
Flatow (Kr Osthavelland)	52,722687	12,961850
Fleißen	50,210142	12,345285
Flieden	50,421425	9,576602
Flörsheim	50,016895	8,430634
Forchheim (Oberfr)	49,717154	11,069713
Fornsbach	48,975598	9,638700
Forst Zinna	52,032300	13,060900
Förtschendorf	50,392898	11,349950
Frankenmarkt	47,979581	13,417225
Frankenthal Hbf	49,535681	8,349609
Frankfurt (M) Sportfeld	50,068214	8,633258
Frankfurt (Main) Hbf	50,106653	8,661304
Frankfurt (Main) Süd	50,098945	8,685722
Frankfurt-Hoechst	50,102964	8,543158
Frankfurt-Hoechst West	50,098615	8,528309
Frankfurt-Louisa	50,084573	8,670316
Frankfurt-Niederrad	50,081255	8,637078
Frankfurt-Oberrad	50,104540	8,723949
Franzensbad	50,124375	12,355156
Frauenhain	51,225900	13,301400
Freiburg (Breisgau) Hbf	47,997848	7,840462
Freiburg-Herdern	48,008128	7,850590
Freiburg-St Georgen	47,975559	7,802696
Freiburg-Zähringen	48,024778	7,863121
Freihalden	48,388064	10,496407
Freilassing	47,837242	12,977085
Freising	48,395132	11,744900
Fridolfing	47,984062	12,799244
Friedlos	50,896835	9,743500
Friedrichsthal (Baden)	49,110737	8,477411
Friedrich-Wilhelmshütte	50,802626	7,159653
Friesenheim (Baden)	48,381423	7,863035
Friesing	48,210718	15,556984
Frohnsdorf	52,056159	12,904172
Fröttstädt	50,930738	10,572624
Fulda	50,554725	9,683847
Fünfstetten	48,836362	10,782309
Fürstenfeldbruck	48,171924	11,262360
Fürth (Bay) Hbf	49,469797	10,989847
Fürth-Unterfarrnbach	49,483238	10,967274
Gabelbach	48,378088	10,562325
Gablingen	48,463588	10,850716
Gaildorf Reichsb	49,004152	9,752684
Gaimersheim	48,800306	11,369133
Garching	48,130695	12,572823
Gärtringen	48,641870	8,908968
Gaschwitz	51,250205	12,379017
Gastag	47,906332	12,938290
Gaubüttelbrunn	49,635453	9,853878
Gaugshausen	49,143706	9,923916
Gehlberg	50,683843	10,768147
Gehren (Kr Luckau)	51,474800	13,373200
Geinhausen	50,196353	9,189205
